path,depth,use_bias,use_residual,seed,layer_index,grad_norm
sequential,1,false,false,1,1,0.9318744
sequential,1,false,false,1,2,0.5008779
sequential,1,false,false,2,1,0.5316094
sequential,1,false,false,2,2,0.48578918
sequential,1,false,false,3,1,0.4205791
sequential,1,false,false,3,2,0.46843636
sequential,1,true,false,1,1,0.29862392
sequential,1,true,false,1,2,0.40128753
sequential,1,true,false,2,1,0.34676608
sequential,1,true,false,2,2,0.55995095
sequential,1,true,false,3,1,0.3463383
sequential,1,true,false,3,2,0.44432265
sequential,1,false,true,1,1,0.6709538
sequential,1,false,true,1,2,0.43944898
sequential,1,false,true,2,1,0.7659255
sequential,1,false,true,2,2,0.4491463
sequential,1,false,true,3,1,0.7266465
sequential,1,false,true,3,2,0.6390006
sequential,1,true,true,1,1,0.37940887
sequential,1,true,true,1,2,0.49061626
sequential,1,true,true,2,1,0.6593275
sequential,1,true,true,2,2,0.5215229
sequential,1,true,true,3,1,0.40298027
sequential,1,true,true,3,2,0.45090407
sequential,2,false,false,1,1,0.9956965
sequential,2,false,false,1,2,0.6497066
sequential,2,false,false,1,3,0.4056561
sequential,2,false,false,2,1,1.1278938
sequential,2,false,false,2,2,0.7879282
sequential,2,false,false,2,3,0.42115727
sequential,2,false,false,3,1,0.6773954
sequential,2,false,false,3,2,0.8260679
sequential,2,false,false,3,3,0.4573536
sequential,2,true,false,1,1,0.3081501
sequential,2,true,false,1,2,0.32466763
sequential,2,true,false,1,3,0.32122013
sequential,2,true,false,2,1,0.35205954
sequential,2,true,false,2,2,0.5284253
sequential,2,true,false,2,3,0.42627382
sequential,2,true,false,3,1,0.36500636
sequential,2,true,false,3,2,0.6859102
sequential,2,true,false,3,3,0.55155694
sequential,2,false,true,1,1,1.5312756
sequential,2,false,true,1,2,0.8416919
sequential,2,false,true,1,3,0.33454165
sequential,2,false,true,2,1,1.2010093
sequential,2,false,true,2,2,0.81349427
sequential,2,false,true,2,3,0.3542239
sequential,2,false,true,3,1,1.2886955
sequential,2,false,true,3,2,1.102242
sequential,2,false,true,3,3,0.41765004
sequential,2,true,true,1,1,0.4946887
sequential,2,true,true,1,2,0.4846442
sequential,2,true,true,1,3,0.2688641
sequential,2,true,true,2,1,0.7211288
sequential,2,true,true,2,2,0.47756952
sequential,2,true,true,2,3,0.31323928
sequential,2,true,true,3,1,0.78713256
sequential,2,true,true,3,2,0.64582753
sequential,2,true,true,3,3,0.59121925
sequential,3,false,false,1,1,1.2216805
sequential,3,false,false,1,2,1.2083743
sequential,3,false,false,1,3,0.6646222
sequential,3,false,false,1,4,0.5242869
sequential,3,false,false,2,1,1.05852
sequential,3,false,false,2,2,0.7129611
sequential,3,false,false,2,3,0.4684455
sequential,3,false,false,2,4,0.3834926
sequential,3,false,false,3,1,0.9461674
sequential,3,false,false,3,2,0.86945033
sequential,3,false,false,3,3,0.76563275
sequential,3,false,false,3,4,0.5159421
sequential,3,true,false,1,1,0.4142981
sequential,3,true,false,1,2,0.4667931
sequential,3,true,false,1,3,0.44994769
sequential,3,true,false,1,4,0.5981898
sequential,3,true,false,2,1,0.6526388
sequential,3,true,false,2,2,0.41492516
sequential,3,true,false,2,3,0.34606045
sequential,3,true,false,2,4,0.31210202
