path,depth,use_bias,use_residual,seed,init_loss,final_loss,test_acc,grad_encoder,grad_last,grad_ratio,grad_min,grad_max,n_params
sequential,1,false,false,1,0.97611475,0.30940175,0.639,0.9318744,0.5008779,1.8604821,0.5008779,0.9318744,6016
sequential,1,false,false,2,1.0536095,0.27811086,0.6335,0.5316094,0.48578918,1.0943213,0.48578918,0.5316094,6016
sequential,1,false,false,3,1.0391791,0.28437233,0.6335,0.4205791,0.46843636,0.89783615,0.4205791,0.46843636,6016
sequential,1,true,false,1,1.0237125,0.3265126,0.608,0.29862392,0.40128753,0.74416447,0.29862392,0.40128753,6272
sequential,1,true,false,2,1.0273678,0.30521113,0.608,0.34676608,0.55995095,0.6192794,0.34676608,0.55995095,6272
sequential,1,true,false,3,0.9999436,0.25725758,0.5995,0.3463383,0.44432265,0.7794748,0.3463383,0.44432265,6272
sequential,1,false,true,1,1.0048184,0.3177207,0.6515,0.6709538,0.43944898,1.5268071,0.43944898,0.6709538,6016
sequential,1,false,true,2,0.9248585,0.293581,0.628,0.7659255,0.4491463,1.7052919,0.4491463,0.7659255,6016
sequential,1,false,true,3,0.9897411,0.29026908,0.624,0.7266465,0.6390006,1.1371609,0.6390006,0.7266465,6016
sequential,1,true,true,1,1.0552876,0.33435813,0.603,0.37940887,0.49061626,0.7733312,0.37940887,0.49061626,6272
sequential,1,true,true,2,1.0052339,0.29571944,0.606,0.6593275,0.5215229,1.264235,0.5215229,0.6593275,6272
sequential,1,true,true,3,0.9897106,0.23612115,0.587,0.40298027,0.45090407,0.8937162,0.40298027,0.45090407,6272
sequential,2,false,false,1,0.9442749,0.23513399,0.6495,0.9956965,0.4056561,2.4545336,0.4056561,0.9956965,10176
sequential,2,false,false,2,1.0173779,0.25991786,0.6605,1.1278938,0.42115727,2.6780822,0.42115727,1.1278938,10176
sequential,2,false,false,3,1.0012096,0.24051593,0.668,0.6773954,0.4573536,1.4811196,0.4573536,0.8260679,10176
sequential,2,true,false,1,1.0083339,0.2601815,0.643,0.3081501,0.32122013,0.95931137,0.3081501,0.32466763,10560
sequential,2,true,false,2,1.0255603,0.24835685,0.659,0.35205954,0.42627382,0.82589996,0.35205954,0.5284253,10560
sequential,2,true,false,3,1.0538411,0.20980212,0.6675,0.36500636,0.55155694,0.6617746,0.36500636,0.6859102,10560
sequential,2,false,true,1,1.002841,0.2665231,0.636,1.5312756,0.33454165,4.5772347,0.33454165,1.5312756,10176
sequential,2,false,true,2,0.96801174,0.30178565,0.6585,1.2010093,0.3542239,3.390537,0.3542239,1.2010093,10176
sequential,2,false,true,3,1.027391,0.27656603,0.6565,1.2886955,0.41765004,3.0855868,0.41765004,1.2886955,10176
sequential,2,true,true,1,0.9678017,0.24550724,0.667,0.4946887,0.2688641,1.839921,0.2688641,0.4946887,10560
sequential,2,true,true,2,0.96288836,0.24001348,0.677,0.7211288,0.31323928,2.302166,0.31323928,0.7211288,10560
sequential,2,true,true,3,1.030299,0.23405151,0.6795,0.78713256,0.59121925,1.3313717,0.59121925,0.78713256,10560
sequential,3,false,false,1,0.9392041,0.2296532,0.6845,1.2216805,0.5242869,2.3301754,0.5242869,1.2216805,14336
sequential,3,false,false,2,1.04045,0.26354083,0.684,1.05852,0.3834926,2.7602098,0.3834926,1.05852,14336
sequential,3,false,false,3,1.0201193,0.2194427,0.6775,0.9461674,0.5159421,1.8338636,0.5159421,0.9461674,14336
sequential,3,true,false,1,0.99377155,0.23157902,0.6395,0.4142981,0.5981898,0.69258636,0.4142981,0.5981898,14848
sequential,3,true,false,2,0.9726349,0.24614184,0.674,0.6526388,0.31210202,2.0911071,0.31210202,0.6526388,14848
sequential,3,true,false,3,0.98189574,0.2462238,0.644,0.23046048,0.24332348,0.9471362,0.23046048,0.36031532,14848
sequential,3,false,true,1,1.0128069,0.24600708,0.683,5.025944,0.55761915,9.01322,0.55761915,5.025944,14336
