path,depth,use_bias,use_residual,seed,layer_index,grad_norm
static,1,false,false,1,1,2.9791088
static,1,false,false,1,2,0.27792132
static,1,false,false,2,1,1.274135
static,1,false,false,2,2,0.28470662
static,1,false,false,3,1,1.4094818
static,1,false,false,3,2,0.28162354
static,1,true,false,1,1,0.7464799
static,1,true,false,1,2,0.2357017
static,1,true,false,2,1,1.0468172
static,1,true,false,2,2,0.28323707
static,1,true,false,3,1,0.7614462
static,1,true,false,3,2,0.35876226
static,1,false,true,1,1,2.4915588
static,1,false,true,1,2,0.2593676
static,1,false,true,2,1,1.4487637
static,1,false,true,2,2,0.2703872
static,1,false,true,3,1,1.3814672
static,1,false,true,3,2,0.24587297
static,1,true,true,1,1,0.98630613
static,1,true,true,1,2,0.23949753
static,1,true,true,2,1,1.1383343
static,1,true,true,2,2,0.23444913
static,1,true,true,3,1,1.044774
static,1,true,true,3,2,0.38161975
static,2,false,false,1,1,3.0445495
static,2,false,false,1,2,0.5614027
static,2,false,false,1,3,0.28477755
static,2,false,false,2,1,2.4996517
static,2,false,false,2,2,0.485752
static,2,false,false,2,3,0.26487964
static,2,false,false,3,1,2.7511787
static,2,false,false,3,2,0.55141556
static,2,false,false,3,3,0.33247945
static,2,true,false,1,1,0.9617313
static,2,true,false,1,2,0.27115655
static,2,true,false,1,3,0.2636627
static,2,true,false,2,1,1.5263573
static,2,true,false,2,2,0.2761558
static,2,true,false,2,3,0.27728063
static,2,true,false,3,1,0.94139826
static,2,true,false,3,2,0.32279012
static,2,true,false,3,3,0.3190012
static,2,false,true,1,1,4.4911237
static,2,false,true,1,2,0.43876767
static,2,false,true,1,3,0.22333108
static,2,false,true,2,1,3.378562
static,2,false,true,2,2,0.5953944
static,2,false,true,2,3,0.24501543
static,2,false,true,3,1,3.0951753
static,2,false,true,3,2,0.47569337
static,2,false,true,3,3,0.24238376
static,2,true,true,1,1,1.2914186
static,2,true,true,1,2,0.2440207
static,2,true,true,1,3,0.15484324
static,2,true,true,2,1,2.0744593
static,2,true,true,2,2,0.3047672
static,2,true,true,2,3,0.19937861
static,2,true,true,3,1,1.60445
static,2,true,true,3,2,0.4506203
static,2,true,true,3,3,0.2254946
static,3,false,false,1,1,20.239908
static,3,false,false,1,2,0.9095531
static,3,false,false,1,3,0.59842527
static,3,false,false,1,4,0.3253801
static,3,false,false,2,1,3.631302
static,3,false,false,2,2,0.73306614
static,3,false,false,2,3,0.43896034
static,3,false,false,2,4,0.2315667
static,3,false,false,3,1,3.6852715
static,3,false,false,3,2,0.69869
static,3,false,false,3,3,0.41886756
static,3,false,false,3,4,0.28794977
static,3,true,false,1,1,1.1176703
static,3,true,false,1,2,0.34344742
static,3,true,false,1,3,0.28247502
static,3,true,false,1,4,0.19159546
static,3,true,false,2,1,1.8782711
static,3,true,false,2,2,0.26280865
static,3,true,false,2,3,0.28346857
static,3,true,false,2,4,0.24528132
static,3,true,false,3,1,1.0393817
static,3,true,false,3,2,0.3577904
static,3,true,false,3,3,0.30902368
