path,depth,use_bias,use_residual,seed,init_loss,final_loss,test_acc,grad_encoder,grad_last,grad_ratio,grad_min,grad_max,n_params
static,1,false,false,1,1.0191377,0.17461339,0.7965,2.9791088,0.27792132,10.719253,0.27792132,2.9791088,55968
static,1,false,false,2,0.97389317,0.1712936,0.78,1.274135,0.28470662,4.475256,0.28470662,1.274135,55968
static,1,false,false,3,0.9826786,0.17552091,0.782,1.4094818,0.28162354,5.0048437,0.28162354,1.4094818,55968
static,1,true,false,1,1.0111322,0.19988361,0.788,0.7464799,0.2357017,3.1670537,0.2357017,0.7464799,56224
static,1,true,false,2,0.9820517,0.17582804,0.7895,1.0468172,0.28323707,3.6959045,0.28323707,1.0468172,56224
static,1,true,false,3,0.960277,0.16819839,0.7905,0.7614462,0.35876226,2.1224256,0.35876226,0.7614462,56224
static,1,false,true,1,0.9889362,0.23214391,0.7975,2.4915588,0.2593676,9.606284,0.2593676,2.4915588,55968
static,1,false,true,2,0.9821021,0.19750723,0.7955,1.4487637,0.2703872,5.3581076,0.2703872,1.4487637,55968
static,1,false,true,3,0.9851749,0.1842579,0.77,1.3814672,0.24587297,5.618622,0.24587297,1.3814672,55968
static,1,true,true,1,0.9796658,0.19528756,0.7985,0.98630613,0.23949753,4.118231,0.23949753,0.98630613,56224
static,1,true,true,2,0.9746772,0.1628133,0.7905,1.1383343,0.23444913,4.855357,0.23444913,1.1383343,56224
static,1,true,true,3,0.965968,0.14935136,0.788,1.044774,0.38161975,2.7377357,0.38161975,1.044774,56224
static,2,false,false,1,0.9912539,0.15659663,0.7925,3.0445495,0.28477755,10.690974,0.28477755,3.0445495,60128
static,2,false,false,2,1.0181378,0.18467186,0.782,2.4996517,0.26487964,9.4369335,0.26487964,2.4996517,60128
static,2,false,false,3,0.9895202,0.13850033,0.7775,2.7511787,0.33247945,8.274734,0.33247945,2.7511787,60128
static,2,true,false,1,1.0342896,0.13281259,0.793,0.9617313,0.2636627,3.647582,0.2636627,0.9617313,60512
static,2,true,false,2,1.0905209,0.16356117,0.794,1.5263573,0.27728063,5.5047383,0.2761558,1.5263573,60512
static,2,true,false,3,1.0467356,0.13042483,0.793,0.94139826,0.3190012,2.9510806,0.3190012,0.94139826,60512
static,2,false,true,1,0.9791168,0.24545416,0.7855,4.4911237,0.22333108,20.109713,0.22333108,4.4911237,60128
static,2,false,true,2,0.98320764,0.2699303,0.777,3.378562,0.24501543,13.789181,0.24501543,3.378562,60128
static,2,false,true,3,0.9904056,0.19148405,0.7715,3.0951753,0.24238376,12.769731,0.24238376,3.0951753,60128
static,2,true,true,1,0.96683925,0.1635567,0.7945,1.2914186,0.15484324,8.340167,0.15484324,1.2914186,60512
