path,depth,use_bias,use_residual,seed,init_loss,final_loss,test_acc,grad_encoder,grad_last,grad_ratio,grad_min,grad_max,n_params
sequential,1,false,false,1,0.97611475,0.39045027,0.622,0.9318744,0.5008779,1.8604821,0.5008779,0.9318744,1857
sequential,1,true,false,1,1.0237125,0.4041819,0.555,0.29862392,0.40128753,0.74416447,0.29862392,0.40128753,1985
sequential,1,false,true,1,1.0048184,0.41454083,0.624,0.6709538,0.43944898,1.5268071,0.43944898,0.6709538,1857
sequential,1,true,true,1,1.0552876,0.40809378,0.5855,0.37940887,0.49061626,0.7733312,0.37940887,0.49061626,1985
sequential,2,false,false,1,0.9442749,0.32057756,0.619,0.9956965,0.4056561,2.4545336,0.4056561,0.9956965,1858
sequential,2,true,false,1,1.0083339,0.31601876,0.554,0.3081501,0.32122013,0.95931137,0.3081501,0.32466763,1986
sequential,2,false,true,1,1.002841,0.3363323,0.6165,1.5312756,0.33454165,4.5772347,0.33454165,1.5312756,1858
sequential,2,true,true,1,0.9678017,0.2989048,0.6305,0.4946887,0.2688641,1.839921,0.2688641,0.4946887,1986
sequential,3,false,false,1,0.9392041,0.29410186,0.6045,1.2216805,0.5242869,2.3301754,0.5242869,1.2216805,1859
sequential,3,true,false,1,0.99377155,0.31682238,0.629,0.4142981,0.5981898,0.69258636,0.4142981,0.5981898,1987
sequential,3,false,true,1,1.0128069,0.3905852,0.6135,5.025944,0.55761915,9.01322,0.55761915,5.025944,1859
sequential,3,true,true,1,0.9566257,0.27725047,0.654,0.7829728,0.3830616,2.0439868,0.3830616,0.90346503,1987
sequential,4,false,false,1,1.0034866,0.3230453,0.6115,1.9295675,0.47742602,4.041605,0.47742602,2.143585,1860
sequential,4,true,false,1,0.9844499,0.30424228,0.609,0.2737369,0.34748104,0.78777504,0.2737369,0.5777324,1988
sequential,4,false,true,1,1.0112696,0.6873565,0.4485,7.870715,0.2715874,28.980413,0.2715874,7.870715,1860
sequential,4,true,true,1,0.95990664,0.27695832,0.655,1.3629403,0.26443294,5.1542,0.26443294,1.7669495,1988
sequential,5,false,false,1,0.9619304,0.328788,0.6495,4.225503,0.36036214,11.725713,0.36036214,4.225503,1861
sequential,5,true,false,1,0.9553182,0.3007099,0.6265,0.42315322,0.32800478,1.2900825,0.32800478,0.7803677,1989
sequential,5,false,true,1,1.0089033,0.9845189,0.1115,6.6890416,0.19535843,34.23984,0.19535843,6.6890416,1861
sequential,5,true,true,1,0.9980255,0.27787015,0.696,1.6760695,0.2307835,7.2625184,0.2307835,2.548228,1989
sequential,6,false,false,1,1.0020888,0.27845427,0.5635,3.936955,0.3310647,11.891799,0.3310647,3.936955,1862
sequential,6,true,false,1,0.9445818,0.29397437,0.6165,0.3458247,0.16443808,2.1030693,0.16443808,0.560592,1990
sequential,6,false,true,1,0.99566776,0.9987451,0.105,11.074095,0.24585988,45.0423,0.24585988,11.074095,1862
