eps,omega_p,n_cycles,rep,cos,cos_l1,cos_l2,relerr_l1,steps
0.01,0.01,1,4,0.9891521799948333,0.9928015919079395,0.9891521799948333,0.12190904204638114,2714
0.01,0.1,1,4,0.08607021718582464,0.08607021718582464,0.368984343471108,7.646041159971298,452
0.003,0.2,1,1,0.01567814561312666,0.01567814561312666,0.08410400839275357,46.72456202416043,326
0.03,0.1,2,7,0.1686232843646686,0.1686232843646686,0.7926798458243415,3.054889272177829,578
0.1,0.1,4,2,0.3823384002366313,0.3823384002366313,0.7937253152457892,1.4432900564904685,830
0.003,0.02,2,1,0.9613351203986712,0.9613351203986712,0.99572959131503,0.27790485185782565,2084
0.3,0.1,8,5,0.6214037784161941,0.6214037784161941,0.8938798645157207,0.8461469605391285,1334
0.01,0.2,1,1,0.03624441891082041,0.03624441891082041,0.22801029789352867,14.058406899844055,326
0.1,0.1,2,7,0.5459800278740198,0.5459800278740198,0.9116147641206421,1.012036711400042,578
0.03,0.2,1,1,0.09391613562730661,0.09391613562730661,0.5179366843274718,4.75756074216264,326
0.3,0.1,4,2,0.7021026330679149,0.7021026330679149,0.8604044434570444,0.7206383214366175,830
0.03,0.01,2,7,0.9988018860714004,0.9988018860714004,0.9989204483051979,0.056591490690072264,3971
0.3,0.1,2,7,0.8377051034793574,0.8377051034793574,0.9226181835566343,0.5522688708149321,578
0.03,0.1,1,4,0.22328329804370245,0.22328329804370245,0.6385592617469188,2.600933479799278,452
0.1,0.2,1,1,0.2721608621625371,0.2721608621625371,0.7703455129781411,1.6042409291980453,326
0.003,0.1,8,6,-0.02344523911811574,0.005372191012553767,-0.02344523911811574,58.731218997264946,1334
0.003,0.1,2,8,0.006165906070734913,0.08378286116582641,0.006165906070734913,26.72466523284459,578
0.003,0.1,4,3,-0.035782942963612695,0.047262676064243433,-0.035782942963612695,45.98758306676004,830
0.3,0.2,1,1,0.5387342426988397,0.5387342426988397,0.8220610513257973,0.8747825698580256,326
0.01,0.1,2,8,0.1140605444060459,0.1140605444060459,0.17474648496404943,7.996924800893566,578
0.01,0.02,2,1,0.9936793658927625,0.9936793658927625,0.9972696976138663,0.11676899912992583,2084
0.1,0.1,1,4,0.5413966084084685,0.5413966084084685,0.7406991398339104,0.9775914182160655,452
0.03,0.01,1,4,0.9894370290824702,0.9971302652354973,0.9894370290824702,0.08208838554932711,2714
0.01,0.1,4,3,0.07987288861528347,0.07987288861528347,0.11193775729465419,13.774347842614205,830
0.03,0.1,2,8,0.19731745008016807,0.19731745008016807,0.4775644312659383,2.717481370475728,578
0.003,0.2,1,2,0.006482147061726128,0.006482147061726128,0.03168313653022001,44.49606752734376,326
0.01,0.1,8,6,0.017785664600091348,0.017785664600091348,0.07016133795666253,17.625599865435355,1334
0.3,0.1,1,4,0.7305839992600048,0.7305839992600048,0.7509482905314128,0.6835288248952437,452
0.1,0.1,2,8,0.4129297743258754,0.4129297743258754,0.626789653612208,1.0750514042152066,578
0.01,0.2,1,2,0.02303213307812041,0.02303213307812041,0.13238360554624481,13.346396644296684,326
0.03,0.1,4,3,0.17142172820408924,0.17142172820408924,0.4696685044977375,4.588103829528466,830
0.003,0.1,1,5,0.04030803573408149,0.04030803573408149,0.09394610258215477,24.216399805930916,452
0.03,0.2,1,2,0.07024061360947241,0.07024061360947241,0.3794677275295234,4.489285081024829,326
0.1,0.01,4,2,0.9965202515398349,0.9971705212177164,0.9965202515398349,0.08038162005986192,6485
0.3,0.1,2,8,0.5785960849978455,0.5785960849978455,0.6382968402900239,0.8176824603674181,578
0.1,0.2,1,2,0.224498118545734,0.224498118545734,0.6869464964520562,1.5266230432145094,326
0.01,0.1,1,5,0.09520191232442873,0.09520191232442873,0.43904475774875457,7.249456515448083,452
