probe,setting,rep,cos,steps
n_cycles,1,1,0.9956046970964888,1456
n_cycles,1,2,0.9870354794980831,1456
n_cycles,1,3,0.9935959090778446,1456
n_cycles,1,4,0.9616446093550343,1456
n_cycles,1,5,0.9909191787414046,1456
n_cycles,1,6,0.8759345260910341,1456
n_cycles,1,7,0.995200065756615,1456
n_cycles,1,8,0.8831952256596053,1456
n_cycles,2,1,0.9965114105986415,2084
n_cycles,2,2,0.9877342828590205,2084
n_cycles,2,3,0.9946789715933606,2084
n_cycles,2,4,0.9617937554062402,2084
n_cycles,2,5,0.9910501886423028,2084
n_cycles,2,6,0.8760579488173191,2084
n_cycles,2,7,0.995648447785415,2084
n_cycles,2,8,0.8836988528822304,2084
n_cycles,4,1,0.9964742173158994,3340
n_cycles,4,2,0.9875262166810849,3340
n_cycles,4,3,0.995037873620044,3340
n_cycles,4,4,0.9619606518188631,3340
n_cycles,4,5,0.9912356005657545,3340
n_cycles,4,6,0.876218567536443,3340
n_cycles,4,7,0.9957139101665429,3340
n_cycles,4,8,0.8846463461457993,3340
n_cycles,8,1,0.9889855913388198,5852
n_cycles,8,2,0.9815186410051622,5852
n_cycles,8,3,0.9885185914000971,5852
n_cycles,8,4,0.9617541381915206,5852
n_cycles,8,5,0.9883864763500104,5852
n_cycles,8,6,0.8762017360695021,5852
n_cycles,8,7,0.9914613987922473,5852
n_cycles,8,8,0.8860218989485846,5852
n_cycles,16,1,0.9476723010278228,10876
n_cycles,16,2,0.942437540119553,10876
n_cycles,16,3,0.950015807369541,10876
n_cycles,16,4,0.9456112413697089,10876
n_cycles,16,5,0.9546864838142831,10876
n_cycles,16,6,0.8525879455125127,10876
n_cycles,16,7,0.9568613539624842,10876
n_cycles,16,8,0.8871970551571009,10876
ref_vs_ref,beta,1,0.9995445066047532,0
ref_vs_ref,beta,2,0.9995952668653487,0
ref_vs_ref,beta,3,0.9994978583426204,0
ref_vs_ref,beta,4,0.9994994537284182,0
ref_vs_ref,beta,5,0.9996374928746528,0
ref_vs_ref,beta,6,0.9992871996991234,0
ref_vs_ref,beta,7,0.9996378203748623,0
ref_vs_ref,beta,8,0.9997191602136908,0
vary_input,fixed_w,1,0.9878483671739794,0
vary_weights,fixed_x,1,0.9884095101659143,0
vary_input,fixed_w,2,0.8426590307084679,0
vary_weights,fixed_x,2,0.9245914752535862,0
vary_input,fixed_w,3,-0.034432223913249176,0
vary_weights,fixed_x,3,0.9925508365503837,0
vary_input,fixed_w,4,0.9833532050103122,0
vary_weights,fixed_x,4,0.9948714883694932,0
vary_input,fixed_w,5,0.9721044922454677,0
vary_weights,fixed_x,5,0.9609927693322036,0
vary_input,fixed_w,6,0.7678165040609695,0
vary_weights,fixed_x,6,0.9854138842577022,0
vary_input,fixed_w,7,0.9869677266881277,0
vary_weights,fixed_x,7,0.9926208754402154,0
vary_input,fixed_w,8,0.8576491807030644,0
vary_weights,fixed_x,8,0.9690125551735914,0
