probe,setting,rep,cos,steps,ref_selfcos
paired,same_draw,1,0.9877131713417489,0,0.9996049695239207
paired,same_draw,2,0.8414312685565264,0,0.9996632912126066
paired,same_draw,3,-0.11971455398894008,0,0.974313118503155
paired,same_draw,4,0.9832664556689671,0,0.9994971418901146
paired,same_draw,5,0.9725711987972617,0,0.9993459876447581
paired,same_draw,6,0.7684859074443074,0,0.9996977085858945
paired,same_draw,7,0.9872154949395784,0,0.999293499551869
paired,same_draw,8,0.8552960213408513,0,0.9981941174538316
paired,same_draw,9,0.9943883731932809,0,0.9992864432431382
paired,same_draw,10,0.986327160056469,0,0.9996479657219783
paired,same_draw,11,0.9853163158711996,0,0.9994633121888029
paired,same_draw,12,0.9880954743003079,0,0.9994872222449348
paired,same_draw,13,0.9913729826665013,0,0.9995302810710401
paired,same_draw,14,0.9814581750549859,0,0.9995215323126624
paired,same_draw,15,0.9868639067454092,0,0.9994109826161643
paired,same_draw,16,0.989328570175889,0,0.9994904269615317
paired,same_draw,17,0.9542369904502315,0,0.9995735012516163
paired,same_draw,18,0.9670255422165666,0,0.9995947400793621
paired,same_draw,19,0.9442603805837447,0,0.9992118827011074
paired,same_draw,20,0.9872172313183395,0,0.999466739857643
paired,same_draw,21,0.7911325326961818,0,0.9983434867736745
paired,same_draw,22,0.9721674003958423,0,0.9994630391033568
paired,same_draw,23,0.9952537806121289,0,0.9995422553180185
paired,same_draw,24,0.9842274331659604,0,0.9992262590428997
paired,same_draw,25,0.9694278507910122,0,0.9995321640528603
paired,same_draw,26,0.9630125638216903,0,0.9994170427061804
paired,same_draw,27,0.9890713874631053,0,0.999390306234267
paired,same_draw,28,0.9931103432245009,0,0.9992318465414014
paired,same_draw,29,0.9703878110050158,0,0.9996328710884871
paired,same_draw,30,0.9747821159103885,0,0.9994543959953124
paired,same_draw,31,0.9623170742446756,0,0.9994565380433726
paired,same_draw,32,0.8576809297452508,0,0.9991665356225882
