eps,omega_p,n_cycles,readout,rep,cos,cos_l1,cos_l2,relerr_l1,resid,steps,cycles,gitrev
0.001,0.05,8,0.0,1,0.043515229323965385,0.043515229323965385,0.1880299143561966,23.730207264193897,0.00032680426,2459,1229.5,5ef5c11-dirty
0.0003,0.2,2,0.0,1,0.007621258590745002,0.007621258590745002,0.02434016682974123,533.719376514615,0.00032680426,389,194.5,5ef5c11-dirty
0.1,0.1,8,0.005,7,0.11753980784116112,0.11753980784116112,0.45945944783906423,3.3122386025976427,5.042856e-5,1334,667.0,5ef5c11-dirty
0.01,0.1,2,0.01,2,0.03076416083888544,0.03076416083888544,0.09373206197536808,14.90228381487347,9.048635e-6,578,289.0,5ef5c11-dirty
0.003,0.05,2,0.02,5,0.006350684782487612,0.006350684782487612,0.02672070015103173,54.67141155543155,0.00036867431,953,476.5,5ef5c11-dirty
0.3,0.2,8,0.0,4,0.281847973922692,0.281847973922692,0.6634552650284038,1.2237825202943722,1.708457e-5,767,383.5,5ef5c11-dirty
0.001,0.2,2,0.0,1,0.009429419439365266,0.009429419439365266,0.037794668726662595,160.14219925085712,0.00032680426,389,194.5,5ef5c11-dirty
0.003,0.2,2,0.0,1,0.01458315707444695,0.01458315707444695,0.07596771232208448,53.40841089757963,0.00032680426,389,194.5,5ef5c11-dirty
0.03,0.1,2,0.01,2,0.046657400122909774,0.046657400122909774,0.09690841716359838,8.558291405166512,9.048635e-6,578,289.0,5ef5c11-dirty
0.01,0.2,2,0.0,1,0.03257403360984131,0.03257403360984131,0.20350261323650373,16.06128902723127,0.00032680426,389,194.5,5ef5c11-dirty
0.0003,0.2,8,0.005,4,0.016311252511394734,0.016311252511394734,0.04556660203959737,897.9033693935589,1.708457e-5,767,383.5,5ef5c11-dirty
0.01,0.05,2,0.02,5,0.014418620462101376,0.020346819985081845,0.014418620462101376,26.538548180960042,0.00036867431,953,476.5,5ef5c11-dirty
0.1,0.1,2,0.01,2,0.08411217799187107,0.08411217799187107,0.1424340392504482,4.728705070015907,9.048635e-6,578,289.0,5ef5c11-dirty
0.03,0.2,2,0.0,1,0.08320593523739583,0.08320593523739583,0.47743490989030224,5.419214593458617,0.00032680426,389,194.5,5ef5c11-dirty
0.1,0.2,2,0.0,1,0.24357378134256163,0.24357378134256163,0.7554737647473077,1.7858496909288604,0.00032680426,389,194.5,5ef5c11-dirty
0.3,0.1,2,0.01,2,0.1728381605695821,0.1728381605695821,0.3242446688253177,2.6867447291858437,9.048635e-6,578,289.0,5ef5c11-dirty
0.001,0.2,8,0.005,4,0.016418014611488056,0.016418014611488056,0.04320787775879218,269.4291097342324,1.708457e-5,767,383.5,5ef5c11-dirty
0.3,0.2,2,0.0,1,0.5092883727875288,0.5092883727875288,0.8196527664198251,0.9147575407305034,0.00032680426,389,194.5,5ef5c11-dirty
0.03,0.01,2,0.01,2,0.04762843343603902,0.04762843343603902,0.156407734825824,9.857851150015739,9.048635e-6,3971,1985.5,5ef5c11-dirty
0.03,0.05,2,0.02,5,-0.023212796691366288,0.026961944798860264,-0.023212796691366288,11.699034617531536,0.00036867431,953,476.5,5ef5c11-dirty
0.003,0.05,8,0.0,1,0.11569849373952192,0.11569849373952192,0.46750084678593473,7.922755464235341,0.00032680426,2459,1229.5,5ef5c11-dirty
0.0003,0.2,2,0.005,1,0.0070173585738642335,0.0070173585738642335,0.01908396980377969,533.1420661485542,0.00032680426,389,194.5,5ef5c11-dirty
0.0003,0.1,2,0.02,2,-0.012918526484805246,-0.0008121728374515602,-0.012918526484805246,324.28826598789203,9.048635e-6,578,289.0,5ef5c11-dirty
