gitrev,hid,depth,din,R_relax,ε,ω_p,n_cycles,cos_min,pass,reps
unknown,64,2,784,0.01923077,0.01,0.02,4,0.8484929,false,8
unknown,64,2,784,0.01923077,0.01,0.05,4,0.7391242,false,8
unknown,64,2,784,0.01923077,0.01,0.05,8,0.7199662,false,8
unknown,64,2,784,0.01923077,0.01,0.05,16,0.5113523,false,8
unknown,64,2,784,0.01923077,0.01,0.1,4,0.102908835,false,8
unknown,64,2,784,0.01923077,0.01,0.1,8,0.023874212,false,8
unknown,64,2,784,0.01923077,0.01,0.1,16,-0.6279887,false,8
unknown,64,2,784,0.01923077,0.01,0.2,4,-0.01502456,false,8
unknown,64,2,784,0.01923077,0.01,0.2,8,-0.18498863,false,8
unknown,64,2,784,0.01923077,0.01,0.2,16,-0.15884416,false,8
unknown,64,2,784,0.01923077,0.03,0.02,4,0.8467711,false,8
unknown,64,2,784,0.01923077,0.03,0.05,4,0.7573325,false,8
unknown,64,2,784,0.01923077,0.03,0.05,8,0.7753587,false,8
unknown,64,2,784,0.01923077,0.03,0.05,16,0.40720975,false,8
unknown,64,2,784,0.01923077,0.03,0.1,4,-0.2500646,false,8
unknown,64,2,784,0.01923077,0.03,0.1,8,0.3653747,false,8
unknown,64,2,784,0.01923077,0.03,0.1,16,0.19455944,false,8
unknown,64,2,784,0.01923077,0.03,0.2,4,-0.043449048,false,8
unknown,64,2,784,0.01923077,0.03,0.2,8,0.02275926,false,8
unknown,64,2,784,0.01923077,0.03,0.2,16,-0.007282891,false,8
unknown,64,2,784,0.01923077,0.1,0.02,4,0.9334106,false,8
unknown,64,2,784,0.01923077,0.1,0.05,4,0.7353088,false,8
unknown,64,2,784,0.01923077,0.1,0.05,8,0.03966352,false,8
unknown,64,2,784,0.01923077,0.1,0.05,16,0.51365036,false,8
unknown,64,2,784,0.01923077,0.1,0.1,4,0.536484,false,8
unknown,64,2,784,0.01923077,0.1,0.1,8,0.54722774,false,8
unknown,64,2,784,0.01923077,0.1,0.1,16,0.19606134,false,8
unknown,64,2,784,0.01923077,0.1,0.2,4,0.24428777,false,8
unknown,64,2,784,0.01923077,0.1,0.2,8,0.14499597,false,8
unknown,64,2,784,0.01923077,0.1,0.2,16,-0.11837912,false,8
unknown,64,2,784,0.01923077,0.3,0.02,4,0.94484246,false,8
unknown,64,2,784,0.01923077,0.3,0.05,4,0.81272286,false,8
unknown,64,2,784,0.01923077,0.3,0.05,8,0.810004,false,8
unknown,64,2,784,0.01923077,0.3,0.05,16,0.44936576,false,8
unknown,64,2,784,0.01923077,0.3,0.1,4,0.5959338,false,8
unknown,64,2,784,0.01923077,0.3,0.1,8,0.6319007,false,8
unknown,64,2,784,0.01923077,0.3,0.1,16,0.51061976,false,8
unknown,64,2,784,0.01923077,0.3,0.2,4,-0.042580366,false,8
unknown,64,2,784,0.01923077,0.3,0.2,8,0.099872544,false,8
unknown,64,2,784,0.01923077,0.3,0.2,16,-0.17895482,false,8
unknown,64,3,784,0.005167959,0.01,0.02,4,0.8837673,false,8
unknown,64,3,784,0.005167959,0.01,0.05,4,-0.7229961,false,8
unknown,64,3,784,0.005167959,0.01,0.05,8,0.5246532,false,8
unknown,64,3,784,0.005167959,0.01,0.05,16,0.1148257,false,8
unknown,64,3,784,0.005167959,0.01,0.1,4,0.057805113,false,8
