run,method,epoch,loss,test_acc,settle_resid,w1_norm,w2_norm,elapsed_s
final,StaticEP,1,1.7430,0.8220,2.16e-04,20.4,9.8,94.2
final,StaticEP,2,1.6642,0.8283,1.37e-04,21.7,12.0,188.5
final,StaticEP,3,1.6696,0.8239,2.92e-07,23.3,14.0,284.8
final,StaticEP,4,1.6796,0.8181,7.80e-05,25.5,16.0,380.5
final,StaticEP,5,1.6637,0.8355,1.11e-04,24.3,16.6,475.7
final,StaticEP,6,1.6702,0.8229,3.00e-06,25.0,17.7,566.3
final,StaticEP,7,1.6686,0.8075,4.16e-06,25.6,18.1,657.4
final,StaticEP,8,1.6671,0.8361,2.23e-03,24.0,18.7,750.5
final,StaticEP,9,1.6747,0.8126,1.11e-05,24.6,19.3,844.5
final,StaticEP,10,1.6914,0.8231,2.84e-04,26.0,20.0,937.1
final,StaticEP,11,1.6788,0.8119,1.56e-04,24.6,20.1,1032.9
final,StaticEP,12,1.6761,0.8297,1.90e-04,25.3,20.3,1131.8
final,StaticEP,13,1.6701,0.7903,4.10e-07,24.5,20.5,1225.5
final,StaticEP,14,1.6686,0.7357,2.30e-04,25.0,20.7,1321.6
final,StaticEP,15,1.6653,0.8053,4.09e-05,24.7,20.7,1417.6
final,StaticEP,16,1.6720,0.8307,1.30e-05,25.9,20.9,1514.1
final,StaticEP,17,1.6663,0.8144,1.40e-04,24.6,20.9,1610.3
final,StaticEP,18,1.6850,0.8269,3.98e-05,25.5,21.4,1703.8
final,StaticEP,19,1.6661,0.8247,2.84e-05,24.9,21.1,1798.3
final,StaticEP,20,1.6736,0.8268,9.48e-05,25.3,21.2,1885.5
final,LockinEP,1,1.7037,0.8204,5.48e-07,18.1,9.5,1028.5
final,LockinEP,2,1.6710,0.7951,2.14e-05,21.1,12.0,2064.5
final,LockinEP,3,1.6510,0.8423,1.84e-06,21.5,13.4,3088.5
final,LockinEP,4,1.7236,0.8151,7.00e-05,26.9,15.4,4118.0
final,LockinEP,5,1.6648,0.8333,1.03e-03,23.8,15.7,5150.2
final,LockinEP,6,1.7074,0.8191,9.43e-05,24.8,16.7,6186.6
final,LockinEP,7,1.7265,0.7750,1.22e-03,28.4,18.0,7211.7
final,LockinEP,8,1.7003,0.8308,1.30e-04,27.6,18.6,8258.4
final,LockinEP,9,1.7119,0.8231,1.34e-05,29.4,19.3,9298.9
final,LockinEP,10,1.7227,0.8301,6.22e-05,27.5,19.5,10336.6
baseline_nodecay,StaticEP,1,1.8419,0.7671,3.72e-09,26.7,10.2,74.0
baseline_nodecay,StaticEP,2,1.8032,0.7740,1.11e-07,35.5,13.4,147.1
baseline_nodecay,StaticEP,3,1.8603,0.7908,4.86e-07,43.8,16.2,220.7
baseline_nodecay,StaticEP,4,1.8406,0.7754,1.67e-07,50.4,18.7,294.3
baseline_nodecay,StaticEP,5,1.8781,0.7807,1.12e-06,55.9,20.9,373.0
baseline_nodecay,StaticEP,6,1.8775,0.7638,0.00e+00,60.7,22.8,444.5
baseline_nodecay,StaticEP,7,1.8423,0.6892,0.00e+00,66.2,25.0,518.5
baseline_nodecay,StaticEP,8,1.8553,0.7804,7.57e-09,69.6,26.5,590.6
baseline_nodecay,StaticEP,9,1.8995,0.6892,6.97e-05,75.6,29.0,661.2
baseline_nodecay,StaticEP,10,1.9774,0.6625,0.00e+00,80.6,31.2,733.6
baseline_nodecay,StaticEP,11,1.8951,0.5922,1.27e-06,84.1,32.8,806.6
baseline_nodecay,StaticEP,12,1.9594,0.7147,0.00e+00,86.4,33.6,876.8
baseline_nodecay,StaticEP,13,1.9423,0.7246,1.54e-07,90.5,35.1,949.3
baseline_nodecay,StaticEP,14,1.8753,0.7500,4.70e-05,93.5,36.4,1022.4
baseline_nodecay,StaticEP,15,1.8762,0.7130,1.32e-10,95.8,37.8,1094.6
baseline_nodecay,StaticEP,16,1.9193,0.6675,1.49e-05,98.1,38.9,1168.6
baseline_nodecay,StaticEP,17,1.9029,0.7195,3.26e-05,101.0,40.2,1241.6
baseline_nodecay,StaticEP,18,1.8780,0.7386,5.14e-07,103.5,41.1,1313.7
baseline_nodecay,StaticEP,19,1.8513,0.7345,7.97e-06,106.1,42.1,1386.7
baseline_nodecay,StaticEP,20,1.8665,0.7257,9.91e-10,108.9,43.3,1457.2
