device,batch,method,steps_per_grad,sec_per_grad,samples_per_sec
cpu,32,StaticEP,400,0.0931,344
cpu,128,StaticEP,400,0.2116,605
cpu,512,StaticEP,400,0.9528,537
cpu,2048,StaticEP,400,4.8030,426
cpu,8192,StaticEP,400,17.8015,460
gpu,32,StaticEP,400,0.0949,337
gpu,128,StaticEP,400,0.1425,898
gpu,512,StaticEP,400,0.3079,1663
gpu,2048,StaticEP,400,0.2396,8546
gpu,8192,StaticEP,400,0.8570,9559
gpu,32768,StaticEP,400,3.9281,8342
cpu,32,LockinEP,289,0.0553,578
cpu,128,LockinEP,289,0.1132,1131
cpu,512,LockinEP,289,0.7996,640
cpu,2048,LockinEP,289,2.8205,726
cpu,8192,LockinEP,289,12.6278,649
gpu,32,LockinEP,289,0.0804,398
gpu,128,LockinEP,289,0.0679,1886
gpu,512,LockinEP,289,0.0683,7495
gpu,2048,LockinEP,289,0.1833,11172
gpu,8192,LockinEP,289,0.6908,11859
gpu,32768,LockinEP,289,3.0463,10757
