w1_norm,beta,centered,cos_L1,cos_L2,relerr_L1
7.9,0.3,false,0.9948,0.9975,0.103
7.9,0.1,false,0.9951,0.9979,0.099
7.9,0.01,false,0.9951,0.9979,0.099
7.9,0.003,false,0.9946,0.9977,0.104
31.4,0.3,false,0.1730,0.1922,9.436
31.4,0.1,false,0.1038,0.1063,28.706
31.4,0.03,false,0.0782,0.0751,96.982
31.4,0.01,false,0.0709,0.0662,292.310
31.4,0.003,false,0.0684,0.0631,976.049
31.4,0.1,true,0.3802,0.4799,2.499
31.4,0.003,true,0.3796,0.4790,2.504
125.8,0.1,false,0.2544,0.2270,211.038
125.8,0.1,true,0.6842,0.7217,0.761
