eps,omega_p,n_cycles,readout,jitter,kmode,project,rep,cos,cos_l1,cos_l2,relerr_l1,resid,steps,cycles,gitrev
0.003,0.05,2,0.0,0.0,zero,hard,1,0.456692642726511,0.456692642726511,0.9189348671311816,1.6751079677211171,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.005,4.0,zero,hard,7,0.04996181095804636,0.04996181095804636,0.09971979839516652,52.614933230501954,5.042856e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.01,0.25,zero,hard,4,0.5731520624499531,0.5731520624499531,0.7353009879744731,1.1345821313268245,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.02,2,0.02,0.0,zero,soft,2,0.2265786748364058,0.2265786748364058,0.30547962977043336,4.935471211712189,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.03,0.05,8,0.0,0.0,zero,hard,1,0.7261451414474986,0.7261451414474986,0.9596743486195575,0.8364899738200972,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.003,0.02,2,0.01,1.0,zero,soft,5,-0.05138988728227252,-0.05138988728227252,0.10719173428107065,162.42677237566454,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.003,0.05,8,0.005,4.0,zero,hard,7,-0.013429185108900751,-0.013429185108900751,0.12864690753246807,260.4498229706944,5.042856e-5,2459,1229.5,5ef5c11-d91a027d8
0.3,0.05,8,0.01,0.25,zero,hard,4,0.7481265587408029,0.7481265587408029,0.7797431704891419,0.7292744783577767,1.708457e-5,2459,1229.5,5ef5c11-d91a027d8
0.03,0.05,2,0.0,0.0,zero,hard,1,0.9639801696624875,0.9639801696624875,0.9822488306397021,0.2741590266805921,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.02,0.25,zero,hard,4,-0.06852181487834143,0.01569922818818769,-0.06852181487834143,190.01043441370092,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.0,0.0,zero,hard,1,0.9779919966083102,0.9779919966083102,0.98178066076201,0.22785456069586246,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.05,8,0.0,0.0,zero,hard,1,0.9725414304427851,0.9725414304427851,0.980905575785284,0.24626862147564577,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.005,0.0,zero,hard,1,-0.01996356752939551,0.015058975412717347,-0.01996356752939551,20.83613324947345,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.02,0.25,zero,hard,4,-0.021294340578178136,0.045497085941897865,-0.021294340578178136,19.030897162118027,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.03,0.02,2,0.01,1.0,zero,soft,5,-0.0026556502847899562,-0.0026556502847899562,0.21508115634122382,16.22806817862538,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.3,0.05,2,0.005,4.0,zero,hard,7,0.1871995601067702,0.1871995601067702,0.4523366376186972,5.251688332302032,5.042856e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.02,2,0.0,0.25,zero,soft,2,-0.004051621499820316,0.001510009455634569,-0.004051621499820316,2715.8288086389643,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.03,0.05,2,0.005,0.0,zero,hard,1,0.1544127016110397,0.1544127016110397,0.3519323037995967,6.6107143906019905,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.02,0.25,zero,hard,4,0.36090986145402876,0.36090986145402876,0.4993838525596411,1.9820343479986187,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.03,0.02,8,0.02,0.0,zero,soft,2,0.09108125011711918,0.09108125011711918,0.18751036821826783,16.793128860909608,8.953138e-5,5852,2926.0,5ef5c11-d91a027d8
0.03,0.05,8,0.005,4.0,zero,hard,7,0.015028925800765766,0.015028925800765766,0.20150874170330446,26.037610431978102,5.042856e-5,2459,1229.5,5ef5c11-d91a027d8
0.3,0.05,2,0.005,0.0,zero,hard,1,0.38931262888498513,0.38931262888498513,0.694201129376481,1.9734245604102454,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.003,0.05,8,0.02,0.25,zero,hard,4,0.012446747245623968,0.015387067327239864,0.012446747245623968,100.92768600423265,1.708457e-5,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.01,4.0,zero,hard,7,0.036145415013036204,0.036145415013036204,0.046649762328363625,1039.7771114018003,5.042856e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.05,8,0.005,0.0,zero,hard,1,-0.017040640851153973,0.017255588202362705,-0.017040640851153973,22.001744003159036,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.01,0.0,zero,hard,1,0.013979102001467845,0.013979102001467845,0.024083412312072016,31.867886673800943,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.02,2,0.01,1.0,zero,soft,5,0.4340888843585768,0.4340888843585768,0.7879843708610955,1.6432884712307863,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.3,0.02,8,0.005,1.0,zero,soft,5,0.8977454288127321,0.8977454288127321,0.9639015588056646,0.4488231853292497,0.00077848433,5852,2926.0,5ef5c11-d91a027d8
0.03,0.05,2,0.01,4.0,zero,hard,7,0.04389447649131495,0.04389447649131495,0.06437870399225257,103.91119085433537,5.042856e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.0,1.0,zero,hard,4,-0.008282230698255991,-0.0015924506368899163,-0.008282230698255991,4288.543420973747,1.708457e-5,953,476.5,5ef5c11-d91a027d8
