draw,carrier,frame,sample_every,cos_l1,cos_l2,relerr_l1
8,co_rotating,co_rotating,1,0.998871768916215,0.9961193562791166,0.050431836
8,co_rotating,co_rotating,628,0.25650203687010276,0.9787848326658385,3.7085216
8,lab_2pi,co_rotating,1,0.13755610547845898,0.9961190608148672,1.0045388
8,lab_2pi,co_rotating,628,-0.13648876987806313,0.9787856428020875,1204.9012
8,lab_2pi,lab,1,0.13755610708031535,0.9961190608148672,1.0045388
8,lab_2pi,lab,628,-0.13649186037691252,0.9787861466473241,1204.8989
8,lab_1p7,co_rotating,1,0.2613649369228238,0.9961193540035946,0.96551186
8,lab_1p7,co_rotating,628,-0.26193366692433745,0.9787852747597564,78.994804
8,lab_1p7,lab,1,0.2345358246036847,0.9961193540035946,0.9796088
8,lab_1p7,lab,628,0.14657592614073642,0.9787856067008389,185.99763
6,co_rotating,co_rotating,1,0.9993720968138066,0.9994886824823521,0.03544945
6,co_rotating,co_rotating,628,0.30518309042849956,0.8781171162074678,5.766215
6,lab_2pi,co_rotating,1,0.014046369288781483,0.999488513449589,1.2048062
6,lab_2pi,co_rotating,628,-0.014574303315879012,0.8781173347631868,2710.9456
6,lab_2pi,lab,1,0.014046413708481552,0.999488513449589,1.2048061
6,lab_2pi,lab,628,-0.014574544720934505,0.8781174894762351,2710.9397
6,lab_1p7,co_rotating,1,0.026892434217153514,0.999488680772993,1.051545
6,lab_1p7,co_rotating,628,-0.016370239567570607,0.8781198453016589,114.72172
6,lab_1p7,lab,1,0.01959362484792877,0.999488680772993,1.011873
6,lab_1p7,lab,628,0.01482820004708928,0.8781198557766942,342.33292
2,co_rotating,co_rotating,1,0.9979674697320202,0.9947575861448442,0.06375665
2,co_rotating,co_rotating,628,0.7713294625230785,0.9514251627606433,1.9484094
2,lab_2pi,co_rotating,1,0.06676838339882597,0.994757301868182,1.008087
2,lab_2pi,co_rotating,628,-0.0691479360082241,0.9514222286286274,830.2777
2,lab_2pi,lab,1,0.06676836494425928,0.994757301868182,1.008087
2,lab_2pi,lab,628,-0.06914801810179352,0.9514230173107736,830.27826
2,lab_1p7,co_rotating,1,0.010390705210294069,0.9947576706994048,1.0042472
2,lab_1p7,co_rotating,628,0.024730842679402634,0.9514255225832045,35.46255
2,lab_1p7,lab,1,-0.014003443838571323,0.9947576706994048,1.001812
2,lab_1p7,lab,628,-0.016051140201698743,0.9514260929187648,84.85107
7,co_rotating,co_rotating,1,0.998841182649282,0.9988211803631437,0.050283488
7,co_rotating,co_rotating,628,0.44239515884827074,-0.05541173153708488,11.484422
7,lab_2pi,co_rotating,1,-0.2323326897944789,0.9988211735062459,1.2209917
7,lab_2pi,co_rotating,628,0.2261031717760653,-0.0554077906982909,1998.5126
7,lab_2pi,lab,1,-0.23233268796999082,0.9988211735062459,1.2209916
7,lab_2pi,lab,628,0.22610922798562802,-0.055405220942948176,1998.5066
7,lab_1p7,co_rotating,1,-0.29029976429284976,0.9988209772769883,1.3698944
7,lab_1p7,co_rotating,628,0.30937424690933324,-0.05541156699881778,230.72835
7,lab_1p7,lab,1,-0.27277776864211417,0.9988209772769883,1.1321254
7,lab_1p7,lab,628,-0.1820615794222898,-0.05540823572876588,467.84012
4,co_rotating,co_rotating,1,0.9926848697130908,0.993438055946246,0.12578127
4,co_rotating,co_rotating,628,0.48068214560971817,0.9873083753607633,3.1742363
4,lab_2pi,co_rotating,1,0.02208384666507718,0.9934389501700879,1.0325725
4,lab_2pi,co_rotating,628,-0.023211824411489935,0.9873081465756472,1104.8494
4,lab_2pi,lab,1,0.02208384994513926,0.9934390146901964,1.0325725
4,lab_2pi,lab,628,-0.023212542107441395,0.9873079059796531,1104.85
4,lab_1p7,co_rotating,1,0.07213017535880269,0.9934379706796576,1.0048227
4,lab_1p7,co_rotating,628,-0.04812661933411361,0.987308271092548,65.92015
4,lab_1p7,lab,1,0.0625934901746226,0.9934379065821917,0.9984124
4,lab_1p7,lab,628,0.06438587356099791,0.98730827766631,141.08652
1,co_rotating,co_rotating,1,0.9995393765120195,0.9929909631553314,0.030366402
1,co_rotating,co_rotating,628,0.286230351285112,0.9776556886894809,3.8749156
1,lab_2pi,co_rotating,1,0.10386568789569828,0.9929908757367237,1.0113174
1,lab_2pi,co_rotating,628,-0.10375397960541634,0.9776567974126381,1128.6953
1,lab_2pi,lab,1,0.10386568656439815,0.9929908757367237,1.0113174
1,lab_2pi,lab,628,-0.10375610415669637,0.9776551357734465,1128.6993
1,lab_1p7,co_rotating,1,0.20921830500776847,0.9929905497304942,0.97855586
1,lab_1p7,co_rotating,628,-0.194781321019108,0.9776560159147916,84.85568
1,lab_1p7,lab,1,0.19872038533213482,0.9929905497304942,0.98398286
1,lab_1p7,lab,628,0.16430596478789208,0.9776556190755117,149.41748
5,co_rotating,co_rotating,1,0.9994467405636932,0.9902215382404302,0.034136266
5,co_rotating,co_rotating,628,-0.010125532463643484,-0.34875771015311235,10.302881
5,lab_2pi,co_rotating,1,0.08864644165817773,0.9902228096438321,1.2300357
5,lab_2pi,co_rotating,628,-0.08775370989802628,-0.34878799538283956,3180.7812
5,lab_2pi,lab,1,0.08864645458890348,0.9902228096438321,1.2300357
5,lab_2pi,lab,628,-0.0877554523753783,-0.34875325998492707,3180.7979
5,lab_1p7,co_rotating,1,0.19948453997642343,0.9902208461086753,1.0782369
5,lab_1p7,co_rotating,628,-0.1922955818545198,-0.34878349003307973,228.1986
5,lab_1p7,lab,1,0.19761461770875796,0.9902207532674315,0.9842479
5,lab_1p7,lab,628,0.16954390790090867,-0.3487758140468563,350.65005
3,co_rotating,co_rotating,1,0.999204008815914,0.9994892745818412,0.0400426
3,co_rotating,co_rotating,628,0.25377017630374665,0.761510738249446,15.381431
3,lab_2pi,co_rotating,1,-0.07885266939814768,0.9994890946946051,1.5935159
3,lab_2pi,co_rotating,628,0.07768595250431208,0.7615053572333123,4560.567
3,lab_2pi,lab,1,-0.07885263837739108,0.9994890947260047,1.5935158
3,lab_2pi,lab,628,0.07768680326278837,0.7614968339279459,4560.602
3,lab_1p7,co_rotating,1,-0.1297233098338937,0.9994890891682294,1.4627602
3,lab_1p7,co_rotating,628,0.13302878714824232,0.7615200590465303,337.38177
3,lab_1p7,lab,1,-0.13168876136991664,0.9994892120239649,1.1279019
3,lab_1p7,lab,628,-0.10669665201727517,0.7615235383677134,424.3334
1,co_rotating,co_rotating,1,0.9995393765120195,0.9929909631553314,0.030366402
1,co_rotating,co_rotating,628,0.286230351285112,0.9776556886894809,3.8749156
1,lab_2pi,co_rotating,1,0.10386568789569828,0.9929908757367237,1.0113174
1,lab_2pi,co_rotating,628,-0.10375397960541634,0.9776567974126381,1128.6953
1,lab_2pi,lab,1,0.10386568656439815,0.9929908757367237,1.0113174
1,lab_2pi,lab,628,-0.10375610415669637,0.9776551357734465,1128.6993
1,lab_1p7,co_rotating,1,0.20921830500776847,0.9929905497304942,0.97855586
1,lab_1p7,co_rotating,628,-0.194781321019108,0.9776560159147916,84.85568
1,lab_1p7,lab,1,0.19872038533213482,0.9929905497304942,0.98398286
1,lab_1p7,lab,628,0.16430596478789208,0.9776556190755117,149.41748
8,co_rotating,co_rotating,1,0.998871768916215,0.9961193562791166,0.050431836
8,co_rotating,co_rotating,628,0.25650203687010276,0.9787848326658385,3.7085216
8,lab_2pi,co_rotating,1,0.13755610547845898,0.9961190608148672,1.0045388
8,lab_2pi,co_rotating,628,-0.13648876987806313,0.9787856428020875,1204.9012
8,lab_2pi,lab,1,0.13755610708031535,0.9961190608148672,1.0045388
8,lab_2pi,lab,628,-0.13649186037691252,0.9787861466473241,1204.8989
8,lab_1p7,co_rotating,1,0.2613649369228238,0.9961193540035946,0.96551186
8,lab_1p7,co_rotating,628,-0.26193366692433745,0.9787852747597564,78.994804
8,lab_1p7,lab,1,0.2345358246036847,0.9961193540035946,0.9796088
8,lab_1p7,lab,628,0.14657592614073642,0.9787856067008389,185.99763
5,co_rotating,co_rotating,1,0.9994467405636932,0.9902215382404302,0.034136266
5,co_rotating,co_rotating,628,-0.010125532463643484,-0.34875771015311235,10.302881
5,lab_2pi,co_rotating,1,0.08864644165817773,0.9902228096438321,1.2300357
5,lab_2pi,co_rotating,628,-0.08775370989802628,-0.34878799538283956,3180.7812
5,lab_2pi,lab,1,0.08864645458890348,0.9902228096438321,1.2300357
5,lab_2pi,lab,628,-0.0877554523753783,-0.34875325998492707,3180.7979
5,lab_1p7,co_rotating,1,0.19948453997642343,0.9902208461086753,1.0782369
5,lab_1p7,co_rotating,628,-0.1922955818545198,-0.34878349003307973,228.1986
