kind,treatment,depth,seed,leaf,idx,grad_norm
local_self,old,1,1,log_neg_lambda,1,0.07667928
local_self,old,1,1,log_neg_lambda,2,0.0139300525
local_self,old,1,1,log_neg_lambda,3,0.0056707375
local_self,old,1,1,log_neg_lambda,4,0.011263699
local_self,old,1,1,log_neg_lambda,5,0.0030718506
local_self,old,1,1,log_neg_lambda,6,0.002780332
local_self,old,1,1,weight,1,4.0321593
local_self,old,1,1,weight,2,0.306041
local_self,old,1,1,weight,3,0.20373967
local_self,old,1,1,weight,4,0.3938607
local_self,old,1,1,weight,5,0.0838968
local_self,old,1,1,weight,6,0.1645461
local_self,old,1,1,scale,1,0.0036463789
local_self,old,2,1,log_neg_lambda,1,1.4426761
local_self,old,2,1,log_neg_lambda,2,0.13358968
local_self,old,2,1,log_neg_lambda,3,0.19356407
local_self,old,2,1,log_neg_lambda,4,0.22516221
local_self,old,2,1,log_neg_lambda,5,0.04595875
local_self,old,2,1,log_neg_lambda,6,0.05631786
local_self,old,2,1,log_neg_lambda,7,0.016549531
local_self,old,2,1,log_neg_lambda,8,0.006737193
local_self,old,2,1,log_neg_lambda,9,0.011675934
local_self,old,2,1,log_neg_lambda,10,0.0027920196
local_self,old,2,1,log_neg_lambda,11,0.0014604229
local_self,old,2,1,weight,1,64.76603
local_self,old,2,1,weight,2,5.5720887
local_self,old,2,1,weight,3,7.5613837
local_self,old,2,1,weight,4,20.530985
local_self,old,2,1,weight,5,1.4284621
local_self,old,2,1,weight,6,1.8287952
local_self,old,2,1,weight,7,0.24698384
local_self,old,2,1,weight,8,0.2182138
local_self,old,2,1,weight,9,0.6116131
local_self,old,2,1,weight,10,0.03232236
local_self,old,2,1,weight,11,0.12625079
local_self,old,2,1,scale,1,0.04869133
local_self,old,2,1,scale,2,0.0013496089
local_self,old,4,1,log_neg_lambda,1,611.71515
local_self,old,4,1,log_neg_lambda,2,83.5282
local_self,old,4,1,log_neg_lambda,3,54.698765
local_self,old,4,1,log_neg_lambda,4,583.8795
local_self,old,4,1,log_neg_lambda,5,15.854228
local_self,old,4,1,log_neg_lambda,6,19.086405
local_self,old,4,1,log_neg_lambda,7,3.1330273
local_self,old,4,1,log_neg_lambda,8,4.430454
local_self,old,4,1,log_neg_lambda,9,4.440905
local_self,old,4,1,log_neg_lambda,10,0.7793095
local_self,old,4,1,log_neg_lambda,11,1.6224456
local_self,old,4,1,log_neg_lambda,12,0.20465247
local_self,old,4,1,log_neg_lambda,13,0.5575935
local_self,old,4,1,log_neg_lambda,14,0.42928463
local_self,old,4,1,log_neg_lambda,15,0.041420124
local_self,old,4,1,log_neg_lambda,16,0.0362462
local_self,old,4,1,log_neg_lambda,17,0.0065286835
local_self,old,4,1,log_neg_lambda,18,0.006858955
local_self,old,4,1,log_neg_lambda,19,0.011011432
local_self,old,4,1,log_neg_lambda,20,0.0028693934
local_self,old,4,1,log_neg_lambda,21,0.0013032422
local_self,old,4,1,weight,1,46984.402
local_self,old,4,1,weight,2,2798.4155
local_self,old,4,1,weight,3,1616.852
local_self,old,4,1,weight,4,10207.929
local_self,old,4,1,weight,5,710.6917
local_self,old,4,1,weight,6,655.28156
local_self,old,4,1,weight,7,244.9402
local_self,old,4,1,weight,8,96.7869
local_self,old,4,1,weight,9,161.89366
local_self,old,4,1,weight,10,17.674505
local_self,old,4,1,weight,11,53.311237
local_self,old,4,1,weight,12,4.997154
local_self,old,4,1,weight,13,6.840885
local_self,old,4,1,weight,14,8.75973
local_self,old,4,1,weight,15,0.71219236
local_self,old,4,1,weight,16,2.6768856
local_self,old,4,1,weight,17,0.23326436
local_self,old,4,1,weight,18,0.86790067
local_self,old,4,1,weight,19,0.25150087
local_self,old,4,1,weight,20,0.026676202
local_self,old,4,1,weight,21,0.07675883
local_self,old,4,1,scale,1,15.101087
local_self,old,4,1,scale,2,0.60977143
local_self,old,4,1,scale,3,0.027754068
local_self,old,4,1,scale,4,0.0011373204
local_self,old,8,1,log_neg_lambda,1,3.9420984e7
local_self,old,8,1,log_neg_lambda,2,1.2235052e7
local_self,old,8,1,log_neg_lambda,3,1.8960216e7
local_self,old,8,1,log_neg_lambda,4,2.4634148e7
local_self,old,8,1,log_neg_lambda,5,2.2778372e6
local_self,old,8,1,log_neg_lambda,6,1.439363e6
local_self,old,8,1,log_neg_lambda,7,527913.3
local_self,old,8,1,log_neg_lambda,8,723285.4
local_self,old,8,1,log_neg_lambda,9,1.00929494e6
local_self,old,8,1,log_neg_lambda,10,162718.52
local_self,old,8,1,log_neg_lambda,11,146557.9
local_self,old,8,1,log_neg_lambda,12,17514.947
local_self,old,8,1,log_neg_lambda,13,36845.082
local_self,old,8,1,log_neg_lambda,14,68730.57
local_self,old,8,1,log_neg_lambda,15,5270.3755
local_self,old,8,1,log_neg_lambda,16,2765.6147
local_self,old,8,1,log_neg_lambda,17,1909.851
local_self,old,8,1,log_neg_lambda,18,10131.947
local_self,old,8,1,log_neg_lambda,19,2997.1099
local_self,old,8,1,log_neg_lambda,20,253.12947
local_self,old,8,1,log_neg_lambda,21,187.55586
local_self,old,8,1,log_neg_lambda,22,33.864136
local_self,old,8,1,log_neg_lambda,23,36.349537
local_self,old,8,1,log_neg_lambda,24,49.270424
local_self,old,8,1,log_neg_lambda,25,11.310992
local_self,old,8,1,log_neg_lambda,26,9.521161
local_self,old,8,1,log_neg_lambda,27,4.538611
local_self,old,8,1,log_neg_lambda,28,2.8920321
local_self,old,8,1,log_neg_lambda,29,3.4082828
local_self,old,8,1,log_neg_lambda,30,0.4020505
local_self,old,8,1,log_neg_lambda,31,0.22933939
local_self,old,8,1,log_neg_lambda,32,0.088726446
local_self,old,8,1,log_neg_lambda,33,0.12740101
local_self,old,8,1,log_neg_lambda,34,0.13590741
local_self,old,8,1,log_neg_lambda,35,0.027673276
local_self,old,8,1,log_neg_lambda,36,0.029103065
local_self,old,8,1,log_neg_lambda,37,0.0057161064
local_self,old,8,1,log_neg_lambda,38,0.005901736
local_self,old,8,1,log_neg_lambda,39,0.011474288
local_self,old,8,1,log_neg_lambda,40,0.0011521131
local_self,old,8,1,log_neg_lambda,41,0.0004922524
local_self,old,8,1,weight,1,1.9130728e9
local_self,old,8,1,weight,2,3.3584157e8
local_self,old,8,1,weight,3,3.2912723e8
local_self,old,8,1,weight,4,4.9865926e8
local_self,old,8,1,weight,5,2.2865104e8
local_self,old,8,1,weight,6,1.9921013e8
local_self,old,8,1,weight,7,1.274465e7
local_self,old,8,1,weight,8,1.1873362e7
local_self,old,8,1,weight,9,1.5175224e8
local_self,old,8,1,weight,10,5.2086885e6
local_self,old,8,1,weight,11,6.716797e6
local_self,old,8,1,weight,12,397629.47
local_self,old,8,1,weight,13,385830.72
local_self,old,8,1,weight,14,2.7629725e6
local_self,old,8,1,weight,15,482061.22
local_self,old,8,1,weight,16,502754.56
local_self,old,8,1,weight,17,175746.25
local_self,old,8,1,weight,18,125068.2
local_self,old,8,1,weight,19,69381.75
local_self,old,8,1,weight,20,14084.085
local_self,old,8,1,weight,21,19604.111
local_self,old,8,1,weight,22,820.5094
local_self,old,8,1,weight,23,1556.9377
local_self,old,8,1,weight,24,1392.5126
local_self,old,8,1,weight,25,166.1807
local_self,old,8,1,weight,26,447.03214
local_self,old,8,1,weight,27,70.01501
local_self,old,8,1,weight,28,65.18365
local_self,old,8,1,weight,29,60.261066
local_self,old,8,1,weight,30,6.651319
local_self,old,8,1,weight,31,11.729799
local_self,old,8,1,weight,32,3.4371266
local_self,old,8,1,weight,33,2.9680662
local_self,old,8,1,weight,34,3.9387674
local_self,old,8,1,weight,35,0.41035405
local_self,old,8,1,weight,36,2.2564723
local_self,old,8,1,weight,37,0.119833075
local_self,old,8,1,weight,38,0.14101817
local_self,old,8,1,weight,39,0.22826135
local_self,old,8,1,weight,40,0.014740592
local_self,old,8,1,weight,41,0.13552897
local_self,old,8,1,scale,1,1.785065e6
local_self,old,8,1,scale,2,193315.1
local_self,old,8,1,scale,3,1404.7432
local_self,old,8,1,scale,4,3356.374
local_self,old,8,1,scale,5,8.395265
local_self,old,8,1,scale,6,0.94088024
local_self,old,8,1,scale,7,0.043270987
local_self,old,8,1,scale,8,0.0010681322
local_self,old,16,1,log_neg_lambda,1,3.4826154e18
local_self,old,16,1,log_neg_lambda,2,4.5767793e17
local_self,old,16,1,log_neg_lambda,3,1.2133459e18
local_self,old,16,1,log_neg_lambda,4,4.291943e17
local_self,old,16,1,log_neg_lambda,5,1.5857221e16
local_self,old,16,1,log_neg_lambda,6,2.20453e16
local_self,old,16,1,log_neg_lambda,7,8.016893e15
local_self,old,16,1,log_neg_lambda,8,5.928776e15
local_self,old,16,1,log_neg_lambda,9,6.600217e15
local_self,old,16,1,log_neg_lambda,10,3.7595362e14
local_self,old,16,1,log_neg_lambda,11,2.5355002e14
local_self,old,16,1,log_neg_lambda,12,1.3961862e14
local_self,old,16,1,log_neg_lambda,13,2.2369567e14
local_self,old,16,1,log_neg_lambda,14,5.2319114e14
local_self,old,16,1,log_neg_lambda,15,2.2826407e13
local_self,old,16,1,log_neg_lambda,16,9.179226e12
local_self,old,16,1,log_neg_lambda,17,2.5912283e14
local_self,old,16,1,log_neg_lambda,18,4.3821795e13
local_self,old,16,1,log_neg_lambda,19,7.2528165e13
local_self,old,16,1,log_neg_lambda,20,1.0177182e12
local_self,old,16,1,log_neg_lambda,21,4.002467e11
local_self,old,16,1,log_neg_lambda,22,1.0524543e12
local_self,old,16,1,log_neg_lambda,23,1.2983581e12
local_self,old,16,1,log_neg_lambda,24,2.1027387e12
local_self,old,16,1,log_neg_lambda,25,9.403008e10
local_self,old,16,1,log_neg_lambda,26,4.7377244e10
local_self,old,16,1,log_neg_lambda,27,3.5486966e10
local_self,old,16,1,log_neg_lambda,28,3.989315e10
local_self,old,16,1,log_neg_lambda,29,1.0216243e11
local_self,old,16,1,log_neg_lambda,30,3.1637693e9
local_self,old,16,1,log_neg_lambda,31,2.9483622e9
local_self,old,16,1,log_neg_lambda,32,2.4028913e9
local_self,old,16,1,log_neg_lambda,33,1.8643858e9
local_self,old,16,1,log_neg_lambda,34,5.440384e9
local_self,old,16,1,log_neg_lambda,35,3.293148e8
local_self,old,16,1,log_neg_lambda,36,2.6263747e8
local_self,old,16,1,log_neg_lambda,37,1.631277e8
local_self,old,16,1,log_neg_lambda,38,1.4545504e8
local_self,old,16,1,log_neg_lambda,39,2.8888758e8
local_self,old,16,1,log_neg_lambda,40,1.5978306e7
local_self,old,16,1,log_neg_lambda,41,1.1015039e7
local_self,old,16,1,log_neg_lambda,42,1.6148249e7
local_self,old,16,1,log_neg_lambda,43,1.129972e7
local_self,old,16,1,log_neg_lambda,44,1.848236e7
local_self,old,16,1,log_neg_lambda,45,1.1572676e6
local_self,old,16,1,log_neg_lambda,46,1.1566005e6
local_self,old,16,1,log_neg_lambda,47,745215.4
local_self,old,16,1,log_neg_lambda,48,738931.3
local_self,old,16,1,log_neg_lambda,49,1.7011736e6
local_self,old,16,1,log_neg_lambda,50,111800.04
local_self,old,16,1,log_neg_lambda,51,133439.56
local_self,old,16,1,log_neg_lambda,52,41525.832
local_self,old,16,1,log_neg_lambda,53,180828.3
local_self,old,16,1,log_neg_lambda,54,65349.4
local_self,old,16,1,log_neg_lambda,55,7381.1953
local_self,old,16,1,log_neg_lambda,56,10696.262
local_self,old,16,1,log_neg_lambda,57,3464.3271
local_self,old,16,1,log_neg_lambda,58,2233.4058
local_self,old,16,1,log_neg_lambda,59,3121.055
local_self,old,16,1,log_neg_lambda,60,481.34265
local_self,old,16,1,log_neg_lambda,61,405.59442
local_self,old,16,1,log_neg_lambda,62,59.48652
local_self,old,16,1,log_neg_lambda,63,64.26781
local_self,old,16,1,log_neg_lambda,64,183.29852
local_self,old,16,1,log_neg_lambda,65,17.453028
local_self,old,16,1,log_neg_lambda,66,11.842137
local_self,old,16,1,log_neg_lambda,67,2.49647
local_self,old,16,1,log_neg_lambda,68,2.5888526
local_self,old,16,1,log_neg_lambda,69,4.664803
local_self,old,16,1,log_neg_lambda,70,0.50159967
local_self,old,16,1,log_neg_lambda,71,0.39540246
local_self,old,16,1,log_neg_lambda,72,0.11336635
local_self,old,16,1,log_neg_lambda,73,0.17460567
local_self,old,16,1,log_neg_lambda,74,0.28596172
local_self,old,16,1,log_neg_lambda,75,0.030385569
local_self,old,16,1,log_neg_lambda,76,0.04985882
local_self,old,16,1,log_neg_lambda,77,0.00561436
local_self,old,16,1,log_neg_lambda,78,0.0055894973
local_self,old,16,1,log_neg_lambda,79,0.010112204
local_self,old,16,1,log_neg_lambda,80,0.001365698
local_self,old,16,1,log_neg_lambda,81,0.001144889
local_self,old,16,1,weight,1,Inf
local_self,old,16,1,weight,2,Inf
local_self,old,16,1,weight,3,1.5356209e19
local_self,old,16,1,weight,4,1.2430122e19
local_self,old,16,1,weight,5,4.852988e18
local_self,old,16,1,weight,6,3.2638893e18
local_self,old,16,1,weight,7,2.1268443e17
local_self,old,16,1,weight,8,1.4748067e17
local_self,old,16,1,weight,9,4.6488733e17
local_self,old,16,1,weight,10,5.5949392e16
local_self,old,16,1,weight,11,7.309836e16
local_self,old,16,1,weight,12,5.8180223e15
local_self,old,16,1,weight,13,4.847516e15
local_self,old,16,1,weight,14,9.533735e15
local_self,old,16,1,weight,15,2.8052047e15
local_self,old,16,1,weight,16,2.5822825e15
local_self,old,16,1,weight,17,2.2727976e15
local_self,old,16,1,weight,18,8.258491e14
local_self,old,16,1,weight,19,1.03236236e15
local_self,old,16,1,weight,20,3.008522e14
local_self,old,16,1,weight,21,9.884662e13
local_self,old,16,1,weight,22,1.7066769e13
local_self,old,16,1,weight,23,3.909896e13
local_self,old,16,1,weight,24,3.6238132e13
local_self,old,16,1,weight,25,1.8015907e13
local_self,old,16,1,weight,26,9.724495e12
local_self,old,16,1,weight,27,7.189996e11
local_self,old,16,1,weight,28,7.409461e11
local_self,old,16,1,weight,29,2.1429482e12
local_self,old,16,1,weight,30,3.738825e11
local_self,old,16,1,weight,31,4.3916624e11
local_self,old,16,1,weight,32,6.0817576e10
local_self,old,16,1,weight,33,4.8788664e10
local_self,old,16,1,weight,34,1.3737546e11
local_self,old,16,1,weight,35,2.8251505e10
local_self,old,16,1,weight,36,3.9704707e10
local_self,old,16,1,weight,37,3.4825797e9
local_self,old,16,1,weight,38,5.541841e9
local_self,old,16,1,weight,39,9.576225e9
local_self,old,16,1,weight,40,1.7639933e9
local_self,old,16,1,weight,41,1.5793222e9
local_self,old,16,1,weight,42,2.0850981e8
local_self,old,16,1,weight,43,1.959798e8
local_self,old,16,1,weight,44,2.993422e8
local_self,old,16,1,weight,45,1.0852053e8
local_self,old,16,1,weight,46,1.324929e8
local_self,old,16,1,weight,47,1.8939302e7
local_self,old,16,1,weight,48,1.5393238e7
local_self,old,16,1,weight,49,2.037482e7
local_self,old,16,1,weight,50,4.941947e6
local_self,old,16,1,weight,51,1.2195442e7
local_self,old,16,1,weight,52,773442.25
local_self,old,16,1,weight,53,1.8281035e6
local_self,old,16,1,weight,54,1.2552436e6
local_self,old,16,1,weight,55,246095.92
local_self,old,16,1,weight,56,401214.25
local_self,old,16,1,weight,57,41602.594
local_self,old,16,1,weight,58,91353.45
local_self,old,16,1,weight,59,89282.56
local_self,old,16,1,weight,60,10237.167
local_self,old,16,1,weight,61,40385.305
local_self,old,16,1,weight,62,1656.8958
local_self,old,16,1,weight,63,1312.0646
local_self,old,16,1,weight,64,2964.8584
local_self,old,16,1,weight,65,627.3041
local_self,old,16,1,weight,66,976.71204
local_self,old,16,1,weight,67,73.92334
