kind,treatment,depth,seed,n_params,init_loss,final_loss,test_acc,nan_loss,grad_w_ratio,grad_w_slope,grad_scale_mean,grad_anchor_mean,grad_alpha_mean,drift,circvar0,circvarD
local_self,old,1,1,22913,NaN,0.30315912,0.699,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,1,2,22913,NaN,0.2953198,0.68,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,1,3,22913,NaN,0.2943729,0.6885,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,2,1,43970,NaN,0.33496022,0.669,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,2,2,43970,NaN,0.38870573,0.6635,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,2,3,43970,NaN,0.4363057,0.6145,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,4,1,86084,NaN,0.9649459,0.098,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,4,2,86084,NaN,0.98467,0.091,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,4,3,86084,NaN,0.9971498,0.094,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,8,1,170312,NaN,0.99509203,0.095,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,8,2,170312,NaN,0.9766453,0.102,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,8,3,170312,NaN,0.97799313,0.101,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,16,1,338768,NaN,1.0111204,0.1025,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,16,2,338768,NaN,0.9915446,0.1105,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,old,16,3,338768,NaN,0.9919726,0.1225,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,1,1,22913,NaN,0.26601517,0.708,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,1,2,22913,NaN,0.26802728,0.686,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,1,3,22913,NaN,0.30085248,0.7,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,2,1,43970,NaN,0.28397948,0.7235,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,2,2,43970,NaN,0.33593827,0.7,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,2,3,43970,NaN,0.326276,0.7025,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,4,1,86084,NaN,1.0036855,0.113,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,4,2,86084,NaN,0.9745023,0.111,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,4,3,86084,NaN,0.99847424,0.102,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,8,1,170312,NaN,0.993284,0.1035,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,8,2,170312,NaN,0.9908674,0.104,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,8,3,170312,NaN,0.9887776,0.113,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,16,1,338768,NaN,0.94937193,0.0895,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,16,2,338768,NaN,0.996082,0.1095,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,downscaled_ffn,16,3,338768,NaN,0.98173964,0.095,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,1,1,22915,NaN,0.24529408,0.6945,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,1,2,22915,NaN,0.2742195,0.659,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,1,3,22915,NaN,0.29097593,0.684,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,2,1,43974,NaN,0.21765175,0.7305,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,2,2,43974,NaN,0.22992441,0.752,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,2,3,43974,NaN,0.29281723,0.736,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,4,1,86092,NaN,0.21951205,0.774,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,4,2,86092,NaN,0.250518,0.7665,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,4,3,86092,NaN,0.22251005,0.7745,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,8,1,170328,NaN,0.19783238,0.782,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,8,2,170328,NaN,0.24408522,0.7735,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,8,3,170328,NaN,0.23199521,0.757,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,16,1,338800,NaN,0.25131193,0.774,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,16,2,338800,NaN,0.20325905,0.7835,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero,16,3,338800,NaN,0.22891232,0.7665,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,1,1,22915,NaN,0.24937898,0.6835,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,1,2,22915,NaN,0.24669561,0.6765,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,1,3,22915,NaN,0.28765833,0.658,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,2,1,43974,NaN,0.21820508,0.744,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,2,2,43974,NaN,0.23384476,0.737,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,2,3,43974,NaN,0.27470058,0.72,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,4,1,86092,NaN,0.22887592,0.7495,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,4,2,86092,NaN,0.21372478,0.7525,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,4,3,86092,NaN,0.22683577,0.752,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,8,1,170328,NaN,0.17249629,0.7585,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,8,2,170328,NaN,0.26926425,0.7415,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,8,3,170328,NaN,0.26765913,0.7515,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,16,1,338800,NaN,0.22282478,0.7515,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,16,2,338800,NaN,0.25166905,0.7555,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_self,rezero_recenter,16,3,338800,NaN,0.2080558,0.7835,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,1,1,20801,NaN,0.30884314,0.7055,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,1,2,20801,NaN,0.30616134,0.6855,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,1,3,20801,NaN,0.31539297,0.699,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,2,1,39746,NaN,0.36011565,0.664,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,2,2,39746,NaN,0.41664982,0.641,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,2,3,39746,NaN,0.41307867,0.67,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,4,1,77636,NaN,0.9494848,0.0975,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,4,2,77636,NaN,0.9530524,0.104,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,4,3,77636,NaN,0.9926126,0.113,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,8,1,153416,NaN,0.9899232,0.101,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,8,2,153416,NaN,0.9878602,0.088,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,8,3,153416,NaN,0.97388697,0.1025,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,16,1,304976,NaN,0.9927672,0.101,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,16,2,304976,NaN,0.9913537,0.1015,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,old,16,3,304976,NaN,0.99643916,0.095,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,1,1,20801,NaN,0.30121484,0.6945,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,1,2,20801,NaN,0.30647403,0.7005,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,1,3,20801,NaN,0.30988008,0.7045,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,2,1,39746,NaN,0.35184485,0.669,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,2,2,39746,NaN,0.42102367,0.648,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,2,3,39746,NaN,0.38711804,0.6675,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,4,1,77636,NaN,0.98268133,0.1145,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,4,2,77636,NaN,0.9512336,0.1495,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,4,3,77636,NaN,0.97859085,0.1205,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,8,1,153416,NaN,0.98088133,0.101,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,8,2,153416,NaN,0.9866154,0.0865,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,8,3,153416,NaN,0.97299266,0.094,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,16,1,304976,NaN,0.96844167,0.0995,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,16,2,304976,NaN,1.0004421,0.106,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,downscaled_ffn,16,3,304976,NaN,1.0009662,0.1085,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,1,1,20803,NaN,0.25882936,0.7015,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,1,2,20803,NaN,0.27174163,0.679,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,1,3,20803,NaN,0.3095773,0.688,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,2,1,39750,NaN,0.24238789,0.7275,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,2,2,39750,NaN,0.24378523,0.7415,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,2,3,39750,NaN,0.2593821,0.7335,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,4,1,77644,NaN,0.23582831,0.7525,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,4,2,77644,NaN,0.19853948,0.772,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,4,3,77644,NaN,0.23989034,0.76,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,8,1,153432,NaN,0.20627189,0.7705,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,8,2,153432,NaN,0.21809931,0.7835,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,8,3,153432,NaN,0.25336272,0.783,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,16,1,305008,NaN,0.2165727,0.7905,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,16,2,305008,NaN,0.21591586,0.7815,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero,16,3,305008,NaN,0.25314203,0.7915,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero_recenter,1,1,20803,NaN,0.24543312,0.674,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
local_cross,rezero_recenter,1,2,20803,NaN,0.25743517,0.657,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
