arm,path,depth,seed,residual_mode,init_scale,bias_magnitude,recenter,init_loss,final_loss,test_acc,grad_ratio,bdisp_mean,drift_final
baseline,sequential,2,1,bind,1.0,1.0,false,0.9678017,0.2989048,0.6305,1.839921,0.19909158,0.3077964
baseline,sequential,5,1,bind,1.0,1.0,false,0.9980255,0.27787015,0.696,7.2625184,0.20163567,0.40461728
baseline,sequential,8,1,bind,1.0,1.0,false,1.0343106,0.31260198,0.6995,21.555643,0.18979731,0.45829672
baseline,sequential,10,1,bind,1.0,1.0,false,1.0175331,0.49298653,0.5805,76.58194,0.1842553,0.47745475
baseline,sequential,12,1,bind,1.0,1.0,false,0.9812911,0.9261303,0.133,44.188362,0.17932844,0.4858074
baseline,sequential,15,1,bind,1.0,1.0,false,0.9800015,0.9856656,0.096,159.30286,0.17273588,0.49900082
baseline,sequential,20,1,bind,1.0,1.0,false,1.0221995,0.9775399,0.114,604.39935,0.16296604,0.49845853
baseline,sequential,30,1,bind,1.0,1.0,false,1.0005641,1.0030266,0.1005,19175.012,0.14817467,0.49395254
baseline,sequential,50,1,bind,1.0,1.0,false,0.99407756,0.9910735,0.0985,7.534679e8,0.13070974,0.498352
bias4,sequential,2,1,bind,1.0,4.0,false,0.987139,0.36273676,0.57,6.2327085,0.022489127,0.03004981
bias4,sequential,5,1,bind,1.0,4.0,false,0.9608411,0.30244926,0.5725,12.777393,0.02441696,0.05499081
bias4,sequential,8,1,bind,1.0,4.0,false,0.9884237,0.29313222,0.6135,4.938669,0.024912402,0.065846466
bias4,sequential,10,1,bind,1.0,4.0,false,1.0421915,0.23506679,0.6525,7.4364634,0.025593689,0.082099654
bias4,sequential,12,1,bind,1.0,4.0,false,1.0001435,0.24836168,0.616,7.183703,0.026005812,0.087091826
bias4,sequential,15,1,bind,1.0,4.0,false,1.008631,0.2248437,0.688,5.660115,0.026883453,0.0980739
bias4,sequential,20,1,bind,1.0,4.0,false,1.0185635,0.23075879,0.695,5.5980253,0.027645132,0.12120255
bias4,sequential,30,1,bind,1.0,4.0,false,0.9678806,0.20292164,0.667,8.307513,0.02877448,0.14206669
bias4,sequential,50,1,bind,1.0,4.0,false,0.9978679,0.21482635,0.722,11.3637905,0.03046486,0.21212418
bias16,sequential,2,1,bind,1.0,16.0,false,0.99491084,0.4909723,0.3135,26.253843,0.0052922564,0.0070315683
bias16,sequential,5,1,bind,1.0,16.0,false,0.9652913,0.43134722,0.4885,54.522068,0.005386067,0.0118255885
bias16,sequential,8,1,bind,1.0,16.0,false,1.0010173,0.41111282,0.5065,24.058777,0.005501961,0.014607235
bias16,sequential,10,1,bind,1.0,16.0,false,1.0374994,0.3403285,0.525,29.093744,0.0055694655,0.018073808
bias16,sequential,12,1,bind,1.0,16.0,false,0.9935801,0.34155273,0.5345,30.562216,0.005553301,0.019046629
bias16,sequential,15,1,bind,1.0,16.0,false,1.0109869,0.3235176,0.595,26.78157,0.0055873683,0.020746278
