arm,depth,seed,block_index,alpha
rezero_warm_g,2,1,1,0.4328682
rezero_warm_g,2,1,2,0.78966177
rezero_warm_g,2,2,1,0.46032533
rezero_warm_g,2,2,2,0.8047752
rezero_warm_g,8,1,1,0.15532924
rezero_warm_g,8,1,2,0.21522643
rezero_warm_g,8,1,3,0.21004984
rezero_warm_g,8,1,4,0.23389061
rezero_warm_g,8,1,5,0.2645896
rezero_warm_g,8,1,6,0.32269904
rezero_warm_g,8,1,7,0.37789533
rezero_warm_g,8,1,8,0.784799
rezero_warm_g,8,2,1,0.0554804
rezero_warm_g,8,2,2,0.09288956
rezero_warm_g,8,2,3,0.07349574
rezero_warm_g,8,2,4,0.23950922
rezero_warm_g,8,2,5,0.25124773
rezero_warm_g,8,2,6,0.33301026
rezero_warm_g,8,2,7,0.46325272
rezero_warm_g,8,2,8,0.78611755
rezero_warm_g,20,1,1,0.00026746158
rezero_warm_g,20,1,2,0.008370462
rezero_warm_g,20,1,3,0.047652643
rezero_warm_g,20,1,4,0.042013157
rezero_warm_g,20,1,5,0.04879155
rezero_warm_g,20,1,6,0.079923265
rezero_warm_g,20,1,7,0.099266194
rezero_warm_g,20,1,8,0.14357159
rezero_warm_g,20,1,9,0.16866137
rezero_warm_g,20,1,10,0.21540444
rezero_warm_g,20,1,11,0.1740766
rezero_warm_g,20,1,12,0.18100284
rezero_warm_g,20,1,13,0.2175532
rezero_warm_g,20,1,14,0.26713407
rezero_warm_g,20,1,15,0.19358006
rezero_warm_g,20,1,16,0.23769401
rezero_warm_g,20,1,17,0.32217446
rezero_warm_g,20,1,18,0.3277474
rezero_warm_g,20,1,19,0.49363312
rezero_warm_g,20,1,20,0.4624493
rezero_warm_g,20,2,1,0.086386055
rezero_warm_g,20,2,2,0.035385944
rezero_warm_g,20,2,3,0.08755058
rezero_warm_g,20,2,4,0.05825077
rezero_warm_g,20,2,5,0.13610394
rezero_warm_g,20,2,6,0.113550216
rezero_warm_g,20,2,7,0.15455052
rezero_warm_g,20,2,8,0.11848085
rezero_warm_g,20,2,9,0.17573512
rezero_warm_g,20,2,10,0.15011723
rezero_warm_g,20,2,11,0.23729457
rezero_warm_g,20,2,12,0.21434179
rezero_warm_g,20,2,13,0.23578283
rezero_warm_g,20,2,14,0.26347497
rezero_warm_g,20,2,15,0.25924766
rezero_warm_g,20,2,16,0.29467008
rezero_warm_g,20,2,17,0.2726695
rezero_warm_g,20,2,18,0.33308327
rezero_warm_g,20,2,19,0.3424839
rezero_warm_g,20,2,20,0.5075431
rezero_warm_g,50,1,1,0.08554115
rezero_warm_g,50,1,2,0.032623213
rezero_warm_g,50,1,3,0.041941304
rezero_warm_g,50,1,4,0.023737412
rezero_warm_g,50,1,5,0.052212115
rezero_warm_g,50,1,6,0.088966504
rezero_warm_g,50,1,7,0.09500029
rezero_warm_g,50,1,8,0.07284237
rezero_warm_g,50,1,9,0.05344436
rezero_warm_g,50,1,10,0.050553422
rezero_warm_g,50,1,11,0.1080723
rezero_warm_g,50,1,12,0.070621446
rezero_warm_g,50,1,13,0.1085595
rezero_warm_g,50,1,14,0.10170996
rezero_warm_g,50,1,15,0.144504
rezero_warm_g,50,1,16,0.09720906
rezero_warm_g,50,1,17,0.11922681
rezero_warm_g,50,1,18,0.15138373
rezero_warm_g,50,1,19,0.119286485
rezero_warm_g,50,1,20,0.12491125
rezero_warm_g,50,1,21,0.13461688
rezero_warm_g,50,1,22,0.10937655
rezero_warm_g,50,1,23,0.12602565
rezero_warm_g,50,1,24,0.13833007
rezero_warm_g,50,1,25,0.13615732
rezero_warm_g,50,1,26,0.1588954
rezero_warm_g,50,1,27,0.14770028
rezero_warm_g,50,1,28,0.1436378
rezero_warm_g,50,1,29,0.1393762
rezero_warm_g,50,1,30,0.15721144
rezero_warm_g,50,1,31,0.13724701
rezero_warm_g,50,1,32,0.14764553
rezero_warm_g,50,1,33,0.14621621
rezero_warm_g,50,1,34,0.1564809
rezero_warm_g,50,1,35,0.14144638
rezero_warm_g,50,1,36,0.15946661
rezero_warm_g,50,1,37,0.1623038
rezero_warm_g,50,1,38,0.17192183
rezero_warm_g,50,1,39,0.17799746
rezero_warm_g,50,1,40,0.18437815
rezero_warm_g,50,1,41,0.19932836
rezero_warm_g,50,1,42,0.20648545
rezero_warm_g,50,1,43,0.20461231
rezero_warm_g,50,1,44,0.22214846
rezero_warm_g,50,1,45,0.22673811
rezero_warm_g,50,1,46,0.26637182
rezero_warm_g,50,1,47,0.27593726
rezero_warm_g,50,1,48,0.3275426
rezero_warm_g,50,1,49,0.34087592
rezero_warm_g,50,1,50,0.41612634
rezero_warm_g,50,2,1,0.05067644
rezero_warm_g,50,2,2,0.056880504
rezero_warm_g,50,2,3,0.094983675
rezero_warm_g,50,2,4,0.045666486
rezero_warm_g,50,2,5,0.10023741
rezero_warm_g,50,2,6,0.1053771
rezero_warm_g,50,2,7,0.12634847
rezero_warm_g,50,2,8,0.07497981
rezero_warm_g,50,2,9,0.09195661
rezero_warm_g,50,2,10,0.118484184
rezero_warm_g,50,2,11,0.11220868
rezero_warm_g,50,2,12,0.10877083
rezero_warm_g,50,2,13,0.09599128
rezero_warm_g,50,2,14,0.108673476
rezero_warm_g,50,2,15,0.08854154
rezero_warm_g,50,2,16,0.10551773
rezero_warm_g,50,2,17,0.1417998
rezero_warm_g,50,2,18,0.1202755
rezero_warm_g,50,2,19,0.11135287
rezero_warm_g,50,2,20,0.13261294
rezero_warm_g,50,2,21,0.14232656
rezero_warm_g,50,2,22,0.15015753
rezero_warm_g,50,2,23,0.15050223
rezero_warm_g,50,2,24,0.1470473
rezero_warm_g,50,2,25,0.1514017
rezero_warm_g,50,2,26,0.14618325
rezero_warm_g,50,2,27,0.15091932
rezero_warm_g,50,2,28,0.13674434
rezero_warm_g,50,2,29,0.16003042
rezero_warm_g,50,2,30,0.15077247
rezero_warm_g,50,2,31,0.14045481
rezero_warm_g,50,2,32,0.1467775
rezero_warm_g,50,2,33,0.14739719
rezero_warm_g,50,2,34,0.16669057
rezero_warm_g,50,2,35,0.15939172
rezero_warm_g,50,2,36,0.16315636
rezero_warm_g,50,2,37,0.17197692
rezero_warm_g,50,2,38,0.17076547
rezero_warm_g,50,2,39,0.1639166
rezero_warm_g,50,2,40,0.17470345
rezero_warm_g,50,2,41,0.18490553
rezero_warm_g,50,2,42,0.17594585
rezero_warm_g,50,2,43,0.1866413
rezero_warm_g,50,2,44,0.21937172
rezero_warm_g,50,2,45,0.22757508
rezero_warm_g,50,2,46,0.27001682
rezero_warm_g,50,2,47,0.28287435
rezero_warm_g,50,2,48,0.34243557
rezero_warm_g,50,2,49,0.2904255
rezero_warm_g,50,2,50,0.42276555
rezero_warm_g_aLR5,2,1,1,0.66720134
rezero_warm_g_aLR5,2,1,2,1.0129447
rezero_warm_g_aLR5,2,2,1,0.78083867
rezero_warm_g_aLR5,2,2,2,0.9979334
rezero_warm_g_aLR5,8,1,1,0.071063355
rezero_warm_g_aLR5,8,1,2,0.04900778
rezero_warm_g_aLR5,8,1,3,0.13471694
rezero_warm_g_aLR5,8,1,4,0.27549312
rezero_warm_g_aLR5,8,1,5,0.4735669
rezero_warm_g_aLR5,8,1,6,0.6765971
rezero_warm_g_aLR5,8,1,7,0.8452582
rezero_warm_g_aLR5,8,1,8,1.0163785
rezero_warm_g_aLR5,8,2,1,0.036494553
rezero_warm_g_aLR5,8,2,2,0.031887237
rezero_warm_g_aLR5,8,2,3,0.173693
rezero_warm_g_aLR5,8,2,4,0.3555995
rezero_warm_g_aLR5,8,2,5,0.36931154
rezero_warm_g_aLR5,8,2,6,0.75844556
rezero_warm_g_aLR5,8,2,7,0.95521164
rezero_warm_g_aLR5,8,2,8,0.9512754
rezero_warm_g_aLR5,20,1,1,0.038790934
rezero_warm_g_aLR5,20,1,2,0.025620257
rezero_warm_g_aLR5,20,1,3,0.03365197
rezero_warm_g_aLR5,20,1,4,0.038379513
rezero_warm_g_aLR5,20,1,5,0.06890859
