arm,path,depth,seed,residual_mode,init_scale,bias_magnitude,recenter,alpha0,alpha_lr_mult,init_loss,final_loss,test_acc,grad_ratio,bdisp_mean,drift_final,alpha_mean,alpha_max
wscale0.1,sequential,2,1,bind,0.1,1.0,false,0.0,1.0,0.99344647,0.18308464,0.7135,1.6355556,0.008515271,0.011287749,NaN,NaN
wscale0.1,sequential,2,2,bind,0.1,1.0,false,0.0,1.0,0.9874859,0.22924444,0.706,2.1956296,0.009255445,0.013675762,NaN,NaN
wscale0.1,sequential,8,1,bind,0.1,1.0,false,0.0,1.0,1.0001879,0.134972,0.7555,1.4343276,0.008913553,0.0235177,NaN,NaN
wscale0.1,sequential,8,2,bind,0.1,1.0,false,0.0,1.0,1.0307813,0.11136088,0.7895,2.0884848,0.009292574,0.027698142,NaN,NaN
wscale0.1,sequential,20,1,bind,0.1,1.0,false,0.0,1.0,1.0285227,0.11173916,0.7845,1.3672032,0.009128126,0.04020557,NaN,NaN
wscale0.1,sequential,20,2,bind,0.1,1.0,false,0.0,1.0,0.9947788,0.115861244,0.8085,2.330508,0.009412844,0.043511517,NaN,NaN
wscale0.1,sequential,50,1,bind,0.1,1.0,false,0.0,1.0,0.9972559,0.11233309,0.726,1.8214214,0.009464602,0.06752317,NaN,NaN
wscale0.1,sequential,50,2,bind,0.1,1.0,false,0.0,1.0,0.97278607,0.11723789,0.8055,2.0050318,0.009932548,0.07266719,NaN,NaN
rezero_warm_g,sequential,2,1,rezero,0.1,1.0,false,0.1,1.0,0.9969896,0.21577993,0.6735,16.15101,0.0008474862,0.0011174,0.611265,0.78966177
rezero_warm_g,sequential,2,2,rezero,0.1,1.0,false,0.1,1.0,0.9892814,0.23547782,0.64,21.202137,0.00092488265,0.00136365,0.63255024,0.8047752
rezero_warm_g,sequential,8,1,rezero,0.1,1.0,false,0.1,1.0,1.0007622,0.17423582,0.67,15.473149,0.00087990373,0.002361215,0.3205599,0.784799
rezero_warm_g,sequential,8,2,rezero,0.1,1.0,false,0.1,1.0,1.0355966,0.19864962,0.6895,17.986889,0.0009171044,0.00282748,0.2868754,0.78611755
rezero_warm_g,sequential,20,1,rezero,0.1,1.0,false,0.1,1.0,1.0253893,0.17400707,0.7335,12.126554,0.0008758367,0.0039301487,0.18654835,0.49363312
rezero_warm_g,sequential,20,2,rezero,0.1,1.0,false,0.1,1.0,1.0021875,0.15062955,0.7615,25.621208,0.0009178828,0.0041195443,0.20383516,0.5075431
rezero_warm_g,sequential,50,1,rezero,0.1,1.0,false,0.1,1.0,1.0054145,0.13072999,0.754,17.916931,0.00087928376,0.006571314,0.14809889,0.41612634
rezero_warm_g,sequential,50,2,rezero,0.1,1.0,false,0.1,1.0,0.98603845,0.12638643,0.7825,22.093384,0.000924723,0.0067565986,0.15371215,0.42276555
rezero_warm_g_aLR5,sequential,2,1,rezero,0.1,1.0,false,0.1,5.0,0.9969896,0.20305856,0.6905,16.15101,0.0008474862,0.0011174,0.840073,1.0129447
rezero_warm_g_aLR5,sequential,2,2,rezero,0.1,1.0,false,0.1,5.0,0.9892814,0.19551665,0.703,21.202137,0.00092488265,0.00136365,0.88938606,0.9979334
rezero_warm_g_aLR5,sequential,8,1,rezero,0.1,1.0,false,0.1,5.0,1.0007622,0.15010422,0.708,15.473149,0.00087990373,0.002361215,0.44276023,1.0163785
rezero_warm_g_aLR5,sequential,8,2,rezero,0.1,1.0,false,0.1,5.0,1.0355966,0.14595327,0.6865,17.986889,0.0009171044,0.00282748,0.4539898,0.95521164
rezero_warm_g_aLR5,sequential,20,1,rezero,0.1,1.0,false,0.1,5.0,1.0253893,0.13822143,0.7535,12.126554,0.0008758367,0.0039301487,0.28086668,1.0022438
rezero_warm_g_aLR5,sequential,20,2,rezero,0.1,1.0,false,0.1,5.0,1.0021875,0.12442295,0.757,25.621208,0.0009178828,0.0041195443,0.32048073,1.0273936
rezero_warm_g_aLR5,sequential,50,1,rezero,0.1,1.0,false,0.1,5.0,1.0054145,0.117842205,0.781,17.916931,0.00087928376,0.006571314,0.23056564,1.0529372
rezero_warm_g_aLR5,sequential,50,2,rezero,0.1,1.0,false,0.1,5.0,0.98603845,0.117957495,0.7835,22.093384,0.000924723,0.0067565986,0.21503158,1.0641608
