arm,depth,seed,block_index,alpha
rezero_a0,2,1,1,0.21417436
rezero_a0,2,1,2,-0.22784582
rezero_a0,2,2,1,0.1902287
rezero_a0,2,2,2,-0.25920165
rezero_a0,2,3,1,0.24580511
rezero_a0,2,3,2,0.20196117
rezero_a0,8,1,1,-0.15427116
rezero_a0,8,1,2,0.14847511
rezero_a0,8,1,3,0.13984554
rezero_a0,8,1,4,0.13008913
rezero_a0,8,1,5,0.14782435
rezero_a0,8,1,6,-0.13968496
rezero_a0,8,1,7,-0.18716267
rezero_a0,8,1,8,0.23657253
rezero_a0,8,2,1,-0.1760712
rezero_a0,8,2,2,0.083609134
rezero_a0,8,2,3,0.07931476
rezero_a0,8,2,4,-0.22709015
rezero_a0,8,2,5,-0.09898669
rezero_a0,8,2,6,0.19320971
rezero_a0,8,2,7,0.17674375
rezero_a0,8,2,8,-0.22190565
rezero_a0,8,3,1,-0.17570215
rezero_a0,8,3,2,-0.1716438
rezero_a0,8,3,3,0.16380899
rezero_a0,8,3,4,0.12765789
rezero_a0,8,3,5,0.17352363
rezero_a0,8,3,6,0.22398351
rezero_a0,8,3,7,0.22021581
rezero_a0,8,3,8,-0.2110624
rezero_a0,20,1,1,-0.12041378
rezero_a0,20,1,2,-0.11131287
rezero_a0,20,1,3,-0.05202457
rezero_a0,20,1,4,0.104960114
rezero_a0,20,1,5,-0.11310016
rezero_a0,20,1,6,-0.1472501
rezero_a0,20,1,7,0.14723791
rezero_a0,20,1,8,-0.12467628
rezero_a0,20,1,9,0.06539031
rezero_a0,20,1,10,0.09736151
rezero_a0,20,1,11,-0.13249314
rezero_a0,20,1,12,-0.08595348
rezero_a0,20,1,13,0.080666125
rezero_a0,20,1,14,-0.1547608
rezero_a0,20,1,15,0.07131198
rezero_a0,20,1,16,-0.14039196
rezero_a0,20,1,17,-0.18443343
rezero_a0,20,1,18,-0.21676344
rezero_a0,20,1,19,-0.16242073
rezero_a0,20,1,20,-0.2111718
rezero_a0,20,2,1,-0.12105119
rezero_a0,20,2,2,0.08717219
rezero_a0,20,2,3,0.068856634
rezero_a0,20,2,4,-0.18231703
rezero_a0,20,2,5,0.07716503
rezero_a0,20,2,6,-0.0968204
rezero_a0,20,2,7,0.07937168
rezero_a0,20,2,8,-0.18068655
rezero_a0,20,2,9,-0.12366319
rezero_a0,20,2,10,-0.08886739
rezero_a0,20,2,11,-0.11032257
rezero_a0,20,2,12,0.06220153
rezero_a0,20,2,13,-0.17062828
rezero_a0,20,2,14,0.06541391
rezero_a0,20,2,15,0.117725454
rezero_a0,20,2,16,0.18104413
rezero_a0,20,2,17,0.122006536
rezero_a0,20,2,18,-0.15956305
rezero_a0,20,2,19,-0.13537978
rezero_a0,20,2,20,0.14266165
rezero_a0,20,3,1,-0.10675742
rezero_a0,20,3,2,0.038734503
rezero_a0,20,3,3,-0.08139118
rezero_a0,20,3,4,0.11309491
rezero_a0,20,3,5,-0.11932894
rezero_a0,20,3,6,-0.11271782
rezero_a0,20,3,7,-0.13435434
rezero_a0,20,3,8,-0.095493846
rezero_a0,20,3,9,-0.077309266
rezero_a0,20,3,10,0.09543179
rezero_a0,20,3,11,-0.13283144
rezero_a0,20,3,12,-0.18181491
rezero_a0,20,3,13,0.1184876
rezero_a0,20,3,14,0.0892158
rezero_a0,20,3,15,0.13070172
rezero_a0,20,3,16,-0.1289028
rezero_a0,20,3,17,0.13367966
rezero_a0,20,3,18,-0.22059329
rezero_a0,20,3,19,-0.1447726
rezero_a0,20,3,20,-0.09829543
rezero_a0,50,1,1,-0.05164287
rezero_a0,50,1,2,0.052733816
rezero_a0,50,1,3,0.07167449
rezero_a0,50,1,4,0.03957595
rezero_a0,50,1,5,0.028716495
rezero_a0,50,1,6,-0.07311492
rezero_a0,50,1,7,-0.06075632
rezero_a0,50,1,8,0.0471483
rezero_a0,50,1,9,0.041952305
rezero_a0,50,1,10,0.02284843
rezero_a0,50,1,11,0.0593407
rezero_a0,50,1,12,-0.05060808
rezero_a0,50,1,13,0.034773666
rezero_a0,50,1,14,-0.07066828
rezero_a0,50,1,15,-0.09642124
rezero_a0,50,1,16,0.0694324
rezero_a0,50,1,17,0.073658995
rezero_a0,50,1,18,0.05039095
rezero_a0,50,1,19,-0.039756022
rezero_a0,50,1,20,0.040456846
rezero_a0,50,1,21,0.048426766
rezero_a0,50,1,22,0.058341015
rezero_a0,50,1,23,-0.07250291
rezero_a0,50,1,24,0.06967278
rezero_a0,50,1,25,-0.075811565
rezero_a0,50,1,26,-0.07017349
rezero_a0,50,1,27,-0.10707824
rezero_a0,50,1,28,-0.08848775
rezero_a0,50,1,29,0.096713915
rezero_a0,50,1,30,0.0855924
rezero_a0,50,1,31,-0.041242026
rezero_a0,50,1,32,0.097526945
rezero_a0,50,1,33,0.08567213
rezero_a0,50,1,34,-0.07277907
rezero_a0,50,1,35,-0.11916583
rezero_a0,50,1,36,-0.08281394
rezero_a0,50,1,37,0.07116936
rezero_a0,50,1,38,0.085781515
rezero_a0,50,1,39,0.08562594
rezero_a0,50,1,40,0.07401181
rezero_a0,50,1,41,0.07734447
rezero_a0,50,1,42,-0.12827867
rezero_a0,50,1,43,-0.13040805
rezero_a0,50,1,44,0.105897084
rezero_a0,50,1,45,-0.17768155
rezero_a0,50,1,46,0.17414112
rezero_a0,50,1,47,0.19290483
rezero_a0,50,1,48,0.10966434
rezero_a0,50,1,49,0.16727877
rezero_a0,50,1,50,-0.16632853
rezero_a0,50,2,1,0.07239634
rezero_a0,50,2,2,0.08120724
rezero_a0,50,2,3,-0.0687362
rezero_a0,50,2,4,-0.09647152
rezero_a0,50,2,5,-0.07236658
rezero_a0,50,2,6,0.013971722
rezero_a0,50,2,7,-0.064115964
rezero_a0,50,2,8,-0.07732841
rezero_a0,50,2,9,0.047421258
rezero_a0,50,2,10,0.03698108
rezero_a0,50,2,11,0.030982105
rezero_a0,50,2,12,0.042996388
rezero_a0,50,2,13,-0.046937376
rezero_a0,50,2,14,0.053501453
rezero_a0,50,2,15,0.03717896
rezero_a0,50,2,16,0.07294103
rezero_a0,50,2,17,-0.05965676
rezero_a0,50,2,18,-0.028198672
rezero_a0,50,2,19,0.10910984
rezero_a0,50,2,20,0.06793487
rezero_a0,50,2,21,0.06309758
rezero_a0,50,2,22,0.07402897
rezero_a0,50,2,23,-0.077193595
rezero_a0,50,2,24,-0.07148073
rezero_a0,50,2,25,0.05043109
rezero_a0,50,2,26,0.053345453
rezero_a0,50,2,27,-0.08638585
rezero_a0,50,2,28,-0.06918244
rezero_a0,50,2,29,0.06771454
rezero_a0,50,2,30,0.08473121
rezero_a0,50,2,31,0.039268296
rezero_a0,50,2,32,-0.07662753
rezero_a0,50,2,33,-0.09560881
rezero_a0,50,2,34,-0.104406275
rezero_a0,50,2,35,0.05456569
rezero_a0,50,2,36,-0.07237728
rezero_a0,50,2,37,0.09870759
rezero_a0,50,2,38,0.1053593
rezero_a0,50,2,39,-0.0903733
rezero_a0,50,2,40,0.066831715
rezero_a0,50,2,41,0.10224666
rezero_a0,50,2,42,0.1312734
rezero_a0,50,2,43,-0.049364403
rezero_a0,50,2,44,-0.18149288
rezero_a0,50,2,45,-0.1594645
rezero_a0,50,2,46,0.16717114
rezero_a0,50,2,47,0.15851548
rezero_a0,50,2,48,-0.1517898
rezero_a0,50,2,49,-0.21911561
rezero_a0,50,2,50,-0.18658458
rezero_a0,50,3,1,0.06634609
rezero_a0,50,3,2,0.039763965
rezero_a0,50,3,3,0.057416428
rezero_a0,50,3,4,0.08486078
rezero_a0,50,3,5,0.04357351
rezero_a0,50,3,6,-0.057699867
rezero_a0,50,3,7,-0.06744662
rezero_a0,50,3,8,0.035564408
rezero_a0,50,3,9,-0.057054862
rezero_a0,50,3,10,0.039810985
rezero_a0,50,3,11,-0.062268022
rezero_a0,50,3,12,-0.03653991
rezero_a0,50,3,13,0.043654297
rezero_a0,50,3,14,0.037301585
rezero_a0,50,3,15,0.026278084
rezero_a0,50,3,16,-0.03503461
rezero_a0,50,3,17,-0.060852814
rezero_a0,50,3,18,0.05433247
rezero_a0,50,3,19,-0.059458286
rezero_a0,50,3,20,0.04215981
rezero_a0,50,3,21,-0.13203779
rezero_a0,50,3,22,-0.04750262
rezero_a0,50,3,23,-0.07290738
rezero_a0,50,3,24,0.06942354
rezero_a0,50,3,25,-0.09078497
rezero_a0,50,3,26,-0.034935724
rezero_a0,50,3,27,-0.14287595
rezero_a0,50,3,28,0.08932663
rezero_a0,50,3,29,-0.08420186
rezero_a0,50,3,30,-0.06188434
rezero_a0,50,3,31,0.05662292
rezero_a0,50,3,32,0.06731938
