arm,path,depth,seed,residual_mode,init_scale,bias_magnitude,recenter,alpha0,init_loss,final_loss,test_acc,grad_ratio,bdisp_mean,drift_final,alpha_mean,alpha_max
baseline,sequential,2,1,bind,1.0,1.0,false,0.0,0.9678017,0.25561303,0.6595,1.839921,0.19909158,0.3077964,NaN,NaN
baseline,sequential,2,2,bind,1.0,1.0,false,0.0,0.96288836,0.27397498,0.665,2.302166,0.21311077,0.35187605,NaN,NaN
baseline,sequential,2,3,bind,1.0,1.0,false,0.0,1.030299,0.25166914,0.673,1.3313717,0.20999381,0.31427047,NaN,NaN
baseline,sequential,8,1,bind,1.0,1.0,false,0.0,1.0343106,0.23839386,0.726,21.555643,0.18979731,0.45829672,NaN,NaN
baseline,sequential,8,2,bind,1.0,1.0,false,0.0,1.0028036,0.26352468,0.6985,15.216753,0.19537225,0.49661487,NaN,NaN
baseline,sequential,8,3,bind,1.0,1.0,false,0.0,0.97310007,0.23247154,0.7255,9.900619,0.18464291,0.48036152,NaN,NaN
baseline,sequential,20,1,bind,1.0,1.0,false,0.0,1.0221995,0.97536373,0.1,604.39935,0.16296604,0.49845853,NaN,NaN
baseline,sequential,20,2,bind,1.0,1.0,false,0.0,1.0049913,0.9836891,0.1005,2298.7944,0.16638412,0.50071186,NaN,NaN
baseline,sequential,20,3,bind,1.0,1.0,false,0.0,0.99198884,0.9808072,0.1125,1179.2517,0.1608358,0.5025082,NaN,NaN
baseline,sequential,50,1,bind,1.0,1.0,false,0.0,0.99407756,0.9553795,0.103,7.534679e8,0.13070974,0.498352,NaN,NaN
baseline,sequential,50,2,bind,1.0,1.0,false,0.0,1.0027716,0.9678653,0.101,1.5746574e8,0.13190097,0.49806198,NaN,NaN
baseline,sequential,50,3,bind,1.0,1.0,false,0.0,1.0097785,0.9430743,0.0975,2.2951842e8,0.12988696,0.5016996,NaN,NaN
wscale0.1,sequential,2,1,bind,0.1,1.0,false,0.0,0.99344647,0.24296905,0.6885,1.6355556,0.008515271,0.011287749,NaN,NaN
wscale0.1,sequential,2,2,bind,0.1,1.0,false,0.0,0.9874859,0.26975003,0.6365,2.1956296,0.009255445,0.013675762,NaN,NaN
wscale0.1,sequential,2,3,bind,0.1,1.0,false,0.0,1.0316472,0.23902032,0.662,2.3659687,0.008142663,0.011477409,NaN,NaN
wscale0.1,sequential,8,1,bind,0.1,1.0,false,0.0,1.0001879,0.19639744,0.7175,1.4343276,0.008913553,0.0235177,NaN,NaN
wscale0.1,sequential,8,2,bind,0.1,1.0,false,0.0,1.0307813,0.18822649,0.718,2.0884848,0.009292574,0.027698142,NaN,NaN
wscale0.1,sequential,8,3,bind,0.1,1.0,false,0.0,1.0464013,0.19403753,0.7335,2.4493287,0.0092961015,0.025191078,NaN,NaN
wscale0.1,sequential,20,1,bind,0.1,1.0,false,0.0,1.0285227,0.17958869,0.7345,1.3672032,0.009128126,0.04020557,NaN,NaN
wscale0.1,sequential,20,2,bind,0.1,1.0,false,0.0,0.9947788,0.20250234,0.7345,2.330508,0.009412844,0.043511517,NaN,NaN
wscale0.1,sequential,20,3,bind,0.1,1.0,false,0.0,0.98198426,0.17639542,0.7495,1.7932407,0.00949203,0.04524466,NaN,NaN
wscale0.1,sequential,50,1,bind,0.1,1.0,false,0.0,0.9972559,0.17713846,0.75,1.8214214,0.009464602,0.06752317,NaN,NaN
wscale0.1,sequential,50,2,bind,0.1,1.0,false,0.0,0.97278607,0.24004568,0.7525,2.0050318,0.009932548,0.07266719,NaN,NaN
wscale0.1,sequential,50,3,bind,0.1,1.0,false,0.0,0.9623921,0.17392524,0.726,1.6529651,0.010027048,0.07619487,NaN,NaN
rezero_a0,sequential,2,1,rezero,1.0,1.0,false,0.0,0.9973645,0.44035488,0.413,1.980518e11,3.4499732e-9,6.8999464e-9,-0.006835729,0.21417436
rezero_a0,sequential,2,2,rezero,1.0,1.0,false,0.0,0.9894687,0.4477229,0.5035,2.9622573e11,2.6089506e-9,5.2179012e-9,-0.034486473,0.1902287
rezero_a0,sequential,2,3,rezero,1.0,1.0,false,0.0,1.0384804,0.43931177,0.5135,3.423357e11,3.3494092e-9,6.6988184e-9,0.22388315,0.24580511
rezero_a0,sequential,8,1,rezero,1.0,1.0,false,0.0,1.0006526,0.44797096,0.5445,2.137033e11,8.624933e-10,6.8999464e-9,0.040210985,0.23657253
rezero_a0,sequential,8,2,rezero,1.0,1.0,false,0.0,1.0360456,0.4239405,0.5925,2.3688151e11,6.5223765e-10,5.2179012e-9,-0.02389704,0.19320971
rezero_a0,sequential,8,3,rezero,1.0,1.0,false,0.0,1.0402484,0.39382267,0.588,3.1943108e11,8.373523e-10,6.6988184e-9,0.043847684,0.22398351
rezero_a0,sequential,20,1,rezero,1.0,1.0,false,0.0,1.0247879,0.42680264,0.5565,1.7710567e11,3.449973e-10,6.8999464e-9,-0.06951193,0.14723791
rezero_a0,sequential,20,2,rezero,1.0,1.0,false,0.0,1.0030501,0.41156077,0.609,3.7383445e11,2.6089506e-10,5.2179012e-9,-0.018284034,0.18104413
rezero_a0,sequential,20,3,rezero,1.0,1.0,false,0.0,0.9832822,0.37781492,0.587,2.8628694e11,3.349409e-10,6.6988184e-9,-0.045760863,0.13367966
rezero_a0,sequential,50,1,rezero,1.0,1.0,false,0.0,1.0059845,0.3167651,0.641,2.5810641e11,1.3799893e-10,6.8999464e-9,0.010854984,0.19290483
rezero_a0,sequential,50,2,rezero,1.0,1.0,false,0.0,0.98809713,0.34119368,0.656,3.4126876e11,1.0435802e-10,5.2179012e-9,-0.004426973,0.16717114
rezero_a0,sequential,50,3,rezero,1.0,1.0,false,0.0,0.94540465,0.32499728,0.637,2.882637e11,1.3397637e-10,6.6988184e-9,-0.012803019,0.16866758
rezero_warm,sequential,2,1,rezero,1.0,1.0,false,0.1,0.9939933,0.45568663,0.4955,7.3453965,0.020661805,0.033488713,0.32428792,0.3561572
