D,d_ff,ff_mult,seed,acc,n_params,final_loss
48,48,1,1,0.4296875,23910,0.41007984
48,48,1,2,0.4609375,23910,0.40999565
48,96,2,1,0.48177084,33414,0.35022783
48,96,2,2,0.48958334,33414,0.362334
48,192,4,1,0.49739584,52422,0.3288416
48,192,4,2,0.5416667,52422,0.32867253
64,64,1,1,0.515625,42118,0.3430453
64,64,1,2,0.5416667,42118,0.28816515
64,128,2,1,0.5677083,58886,0.3172176
64,128,2,2,0.6067708,58886,0.3046397
64,256,4,1,0.5859375,92422,0.27759197
64,256,4,2,0.5833333,92422,0.27924395
96,96,1,1,0.5989583,93894,0.29484665
96,96,1,2,0.6458333,93894,0.29568237
96,192,2,1,0.625,131334,0.26046857
96,192,2,2,0.65625,131334,0.25760636
96,384,4,1,0.6145833,206214,0.23852368
96,384,4,2,0.6822917,206214,0.22301735
128,128,1,1,0.6197917,166150,0.24488856
128,128,1,2,0.6302083,166150,0.2545904
128,256,2,1,0.640625,232454,0.20871276
128,256,2,2,0.5989583,232454,0.21265277
128,512,4,1,0.6328125,365062,0.15896386
128,512,4,2,0.640625,365062,0.2016237
