attn_kind,depth,seed,acc,n_params,final_loss
lsa,1,1,0.4296875,11955,0.4132704
lsa,1,2,0.41145834,11955,0.41730782
lsa,2,1,0.4296875,23910,0.41007984
lsa,2,2,0.4609375,23910,0.40999565
lsa,3,1,0.4765625,35865,0.39733893
lsa,3,2,0.47135416,35865,0.40869746
lsa,4,1,0.47916666,47820,0.35809305
lsa,4,2,0.37760416,47820,0.43438494
lca,1,1,0.43489584,9987,0.41680393
lca,1,2,0.421875,9987,0.41915575
lca,2,1,0.39322916,19974,0.3811275
lca,2,2,0.44270834,19974,0.4188257
lca,3,1,0.453125,29961,0.35955817
lca,3,2,0.4765625,29961,0.35322344
lca,4,1,0.41145834,39948,0.34948707
lca,4,2,0.40364584,39948,0.43460277
