depth,ffn,d_ff,seed,acc,n_params,final_loss
2,off,0,1,0.16145833,14116,0.571303
2,off,0,2,0.19010417,14116,0.5949814
2,on,24,1,0.35677084,19158,0.430674
2,on,24,2,0.3828125,19158,0.3845052
2,on,48,1,0.4296875,23910,0.41007984
2,on,48,2,0.4609375,23910,0.40999565
2,on,96,1,0.48177084,33414,0.35022783
2,on,96,2,0.48958334,33414,0.362334
4,off,0,1,0.19270833,28232,0.5836963
4,off,0,2,0.13541667,28232,0.6474272
4,on,24,1,0.40885416,38316,0.3532483
4,on,24,2,0.39322916,38316,0.3498224
4,on,48,1,0.47916666,47820,0.35809305
4,on,48,2,0.37760416,47820,0.43438494
4,on,96,1,0.44270834,66828,0.38687924
4,on,96,2,0.5052083,66828,0.30207348
