D,d_ff,ff_mult,seed,acc,n_params,final_loss
48,48,1,1,0.43489584,26358,0.36313862
48,48,1,2,0.43229166,26358,0.34332618
48,96,2,1,0.4296875,35862,0.33250245
48,96,2,2,0.42708334,35862,0.354556
48,192,4,1,0.44010416,54870,0.30950367
48,192,4,2,0.44791666,54870,0.3307671
64,64,1,1,0.45052084,46406,0.31988293
64,64,1,2,0.484375,46406,0.29630435
64,128,2,1,0.5026042,63174,0.31530562
64,128,2,2,0.45833334,63174,0.28965768
64,256,4,1,0.5234375,96710,0.28975555
64,256,4,2,0.515625,96710,0.30033857
96,96,1,1,0.5520833,103398,0.25010583
96,96,1,2,0.5598958,103398,0.23804232
96,192,2,1,0.546875,140838,0.24682714
96,192,2,2,0.609375,140838,0.26935303
96,384,4,1,0.5416667,215718,0.24803437
96,384,4,2,0.6432292,215718,0.2717044
128,128,1,1,0.5234375,182918,0.2168097
128,128,1,2,0.5338542,182918,0.2258088
128,256,2,1,0.578125,249222,0.20183226
128,256,2,2,0.5598958,249222,0.18714516
128,512,4,1,0.59375,381830,0.18862122
128,512,4,2,0.5286458,381830,0.19061923
