n_modes,sig_max_frac,seed,acc,n_params,final_loss
1,1.0,1,0.3984375,38313,0.358956
1,1.0,2,0.37239584,38313,0.34649172
1,0.34,1,0.6979167,38313,0.14886387
1,0.34,2,0.7786458,38313,0.13582835
2,1.0,1,0.37760416,53577,0.3980533
2,1.0,2,0.34635416,53577,0.38604885
2,0.34,1,0.8046875,53577,0.09145471
2,0.34,2,0.7864583,53577,0.08294076
4,1.0,1,0.40625,82953,0.37274998
4,1.0,2,0.3671875,82953,0.35013512
4,0.34,1,0.7421875,82953,0.07913341
4,0.34,2,0.7604167,82953,0.16150048
8,1.0,1,0.41927084,141705,0.3317141
8,1.0,2,0.41145834,141705,0.28623503
8,0.34,1,0.8723958,141705,0.09324853
8,0.34,2,0.65625,141705,0.252373
