tau_max,sig_max_frac,seed,acc,n_params,final_loss
16.0,1.0,1,0.40364584,38313,0.3365829
16.0,1.0,2,0.40885416,38313,0.3102553
16.0,0.34,1,0.6171875,38313,0.23261732
16.0,0.34,2,0.6432292,38313,0.16816725
64.0,1.0,1,0.42447916,38313,0.36066014
64.0,1.0,2,0.42447916,38313,0.32367408
64.0,0.34,1,0.7005208,38313,0.17465296
64.0,0.34,2,0.7395833,38313,0.1461662
256.0,1.0,1,0.3984375,38313,0.358956
256.0,1.0,2,0.37239584,38313,0.34649172
256.0,0.34,1,0.6979167,38313,0.14886387
256.0,0.34,2,0.7786458,38313,0.13582835
1024.0,1.0,1,0.39583334,38313,0.38018727
1024.0,1.0,2,0.36979166,38313,0.353105
1024.0,0.34,1,0.7317708,38313,0.18102159
1024.0,0.34,2,0.7552083,38313,0.1524175
