variant,D,sig_max_frac,seed,acc,n_params,final_loss
sliced,48,0.34,1,0.5546875,35865,0.3767872
sliced,48,0.34,2,0.6119792,35865,0.36499676
sliced,48,1.0,1,0.4765625,35865,0.39733893
sliced,48,1.0,2,0.47135416,35865,0.40869746
full_d,48,0.34,1,0.5390625,99369,0.37699103
full_d,48,0.34,2,0.5755208,99369,0.36494246
full_d,48,1.0,1,0.48958334,99369,0.39015916
full_d,48,1.0,2,0.47135416,99369,0.39651018
sliced_matched,80,0.34,1,0.828125,98169,0.13203184
sliced_matched,80,0.34,2,0.71875,98169,0.29227898
sliced_matched,80,1.0,1,0.5911458,98169,0.29834288
sliced_matched,80,1.0,2,0.6015625,98169,0.30411938
