attn_kind,n_heads,Dh,sig_max_frac,seed,acc,n_params,final_loss
lsa,1,48,0.34,1,0.6041667,35865,0.37521747
lsa,1,48,0.34,2,0.5078125,35865,0.41382375
lsa,1,48,1.0,1,0.47916666,35865,0.38909584
lsa,1,48,1.0,2,0.44010416,35865,0.35676116
lsa,2,24,0.34,1,0.703125,35865,0.25425917
lsa,2,24,0.34,2,0.6484375,35865,0.30952016
lsa,2,24,1.0,1,0.46614584,35865,0.40436125
lsa,2,24,1.0,2,0.46875,35865,0.41550308
lsa,4,12,0.34,1,0.5546875,35865,0.3767872
lsa,4,12,0.34,2,0.6119792,35865,0.36499676
lsa,4,12,1.0,1,0.4765625,35865,0.39733893
lsa,4,12,1.0,2,0.47135416,35865,0.40869746
lsa,8,6,0.34,1,0.7083333,35865,0.25962535
lsa,8,6,0.34,2,0.6328125,35865,0.25057453
lsa,8,6,1.0,1,0.44010416,35865,0.4234866
lsa,8,6,1.0,2,0.45052084,35865,0.3532657
lsa,16,3,0.34,1,0.5833333,35865,0.37411475
lsa,16,3,0.34,2,0.6484375,35865,0.36113265
lsa,16,3,1.0,1,0.44010416,35865,0.35909107
lsa,16,3,1.0,2,0.44010416,35865,0.41242903
lca,1,48,0.34,1,0.5104167,29961,0.37354732
lca,1,48,0.34,2,0.59375,29961,0.38195002
lca,1,48,1.0,1,0.44010416,29961,0.39319894
lca,1,48,1.0,2,0.44791666,29961,0.36428314
lca,2,24,0.34,1,0.5026042,29961,0.38110518
lca,2,24,0.34,2,0.6302083,29961,0.36107
lca,2,24,1.0,1,0.45572916,29961,0.41170102
lca,2,24,1.0,2,0.46354166,29961,0.3478748
lca,4,12,0.34,1,0.5520833,29961,0.39389312
lca,4,12,0.34,2,0.578125,29961,0.36555722
lca,4,12,1.0,1,0.453125,29961,0.35955817
lca,4,12,1.0,2,0.4765625,29961,0.35322344
lca,8,6,0.34,1,0.5833333,29961,0.38485196
lca,8,6,0.34,2,0.609375,29961,0.37205067
lca,8,6,1.0,1,0.47135416,29961,0.40605402
lca,8,6,1.0,2,0.42708334,29961,0.40359402
lca,16,3,0.34,1,0.5911458,29961,0.3771797
lca,16,3,0.34,2,0.7291667,29961,0.24720228
lca,16,3,1.0,1,0.4296875,29961,0.42968267
lca,16,3,1.0,2,0.47135416,29961,0.408385
