n_modes,sig_max_frac,seed,acc,n_params,final_loss
1,1.0,1,0.41145834,35865,0.4157032
1,1.0,2,0.44791666,35865,0.4137295
1,0.34,1,0.6875,35865,0.31426492
1,0.34,2,0.7630208,35865,0.21030235
2,1.0,1,0.46614584,51129,0.28567302
2,1.0,2,0.5104167,51129,0.28695342
2,0.34,1,0.9375,51129,0.09373387
2,0.34,2,0.9375,51129,0.032277018
4,1.0,1,0.5520833,80505,0.25842485
4,1.0,2,0.21354167,80505,0.59421474
4,0.34,1,0.90625,80505,0.07093362
4,0.34,2,0.7838542,80505,0.122553326
8,1.0,1,0.1875,139257,0.5786079
8,1.0,2,0.1875,139257,0.5983998
8,0.34,1,0.921875,139257,0.08153559
8,0.34,2,0.7161458,139257,0.23727359
