rung,probe,arm,seed,acc
R0_meanpool_simloss,ffn,on,1,0.43229166
R0_meanpool_simloss,ffn,on,2,0.3828125
R0_meanpool_simloss,ffn,off,1,0.375
R0_meanpool_simloss,ffn,off,2,0.39583334
R0_meanpool_simloss,modes,m1,1,0.75
R0_meanpool_simloss,modes,m1,2,0.7473958
R0_meanpool_simloss,modes,m2,1,0.7916667
R0_meanpool_simloss,modes,m2,2,0.859375
R1_softmaxCE,ffn,on,1,0.484375
R1_softmaxCE,ffn,on,2,0.44791666
R1_softmaxCE,ffn,off,1,0.4453125
R1_softmaxCE,ffn,off,2,0.4609375
R1_softmaxCE,modes,m1,1,0.8125
R1_softmaxCE,modes,m1,2,0.7578125
R1_softmaxCE,modes,m2,1,0.8697917
R1_softmaxCE,modes,m2,2,0.8619792
R2_learncodes,ffn,on,1,0.5026042
R2_learncodes,ffn,on,2,0.4296875
R2_learncodes,ffn,off,1,0.46614584
R2_learncodes,ffn,off,2,0.44270834
R2_learncodes,modes,m1,1,0.8255208
R2_learncodes,modes,m1,2,0.7760417
R2_learncodes,modes,m2,1,0.8619792
R2_learncodes,modes,m2,2,0.8723958
R3_learnbeta,ffn,on,1,0.47135416
R3_learnbeta,ffn,on,2,0.46354166
R3_learnbeta,ffn,off,1,0.46614584
R3_learnbeta,ffn,off,2,0.4296875
R3_learnbeta,modes,m1,1,0.8020833
R3_learnbeta,modes,m1,2,0.7890625
R3_learnbeta,modes,m2,1,0.8489583
R3_learnbeta,modes,m2,2,0.8515625
R4_logsumexp,ffn,on,1,0.5234375
R4_logsumexp,ffn,on,2,0.48177084
R4_logsumexp,ffn,off,1,0.5416667
R4_logsumexp,ffn,off,2,0.5442708
R4_logsumexp,modes,m1,1,0.8203125
R4_logsumexp,modes,m1,2,0.8255208
R4_logsumexp,modes,m2,1,0.7786458
R4_logsumexp,modes,m2,2,0.8776042
