tau_max,sig_max_frac,seed,acc,n_params,final_loss
16.0,1.0,1,0.35677084,35865,0.38189143
16.0,1.0,2,0.33072916,35865,0.4455986
16.0,0.34,1,0.36979166,35865,0.4438602
16.0,0.34,2,0.36979166,35865,0.41322178
64.0,1.0,1,0.4765625,35865,0.39733893
64.0,1.0,2,0.47135416,35865,0.40869746
64.0,0.34,1,0.5546875,35865,0.3767872
64.0,0.34,2,0.6119792,35865,0.36499676
256.0,1.0,1,0.41145834,35865,0.4157032
256.0,1.0,2,0.44791666,35865,0.4137295
256.0,0.34,1,0.6875,35865,0.31426492
256.0,0.34,2,0.7630208,35865,0.21030235
1024.0,1.0,1,0.4375,35865,0.37464747
1024.0,1.0,2,0.3984375,35865,0.41954902
1024.0,0.34,1,0.7473958,35865,0.29432586
1024.0,0.34,2,0.7890625,35865,0.28214452
