arm,knob,D,depth,seed,acc,n_params,final_loss
depth,1,48,1,1,0.4296875,11955,0.4132704
depth,1,48,1,2,0.41145834,11955,0.41730782
depth,2,48,2,1,0.4296875,23910,0.41007984
depth,2,48,2,2,0.4609375,23910,0.40999565
depth,3,48,3,1,0.4765625,35865,0.39733893
depth,3,48,3,2,0.47135416,35865,0.40869746
depth,4,48,4,1,0.47916666,47820,0.35809305
depth,4,48,4,2,0.37760416,47820,0.43438494
width,48,48,2,1,0.4296875,23910,0.41007984
width,48,48,2,2,0.4609375,23910,0.40999565
width,48,48,2,1,0.4296875,23910,0.41007984
width,48,48,2,2,0.4609375,23910,0.40999565
width,60,60,2,1,0.4921875,37086,0.36662623
width,60,60,2,2,0.5260417,37086,0.36010528
width,68,68,2,1,0.5364583,47470,0.36310178
width,68,68,2,2,0.5859375,47470,0.3511854
