config,label,seed,far_acc,near_acc,init_loss,final_loss,min_absz,max_absdz,attn_tau_med0,ffn_tau_med0,attn_tau_med1,ffn_tau_med1
A,A: QKV=hippo/FFN=default (current),1,1.0,1.0,1.6013961,0.057604507,4.892014e-5,0.009947762,5.661049,5.0000005,5.4102592,4.1995573
A,A: QKV=hippo/FFN=default (current),2,1.0,1.0,1.751565,0.023959288,0.00028796933,0.03482601,5.661049,5.0000005,5.506217,2.9040065
A,A: QKV=hippo/FFN=default (current),3,1.0,1.0,1.6329505,0.097096674,0.0002618747,0.0027648292,5.661049,5.0000005,5.2809095,4.1424103
B,B: QKV=default/FFN=hippo (proposed),1,1.0,1.0,1.5842038,0.1038256,2.276128e-7,0.0023147068,5.0000005,5.661049,4.8582735,3.6261258
B,B: QKV=default/FFN=hippo (proposed),2,1.0,1.0,1.7441487,0.19795349,0.00030554322,0.0028141537,5.0000005,5.661049,4.917955,3.9289706
B,B: QKV=default/FFN=hippo (proposed),3,1.0,1.0,1.5790322,0.16222048,0.00064808497,0.0060378336,5.0000005,5.661049,4.890872,3.81285
C,C: all-hippo,1,1.0,1.0,1.6375759,0.11017869,4.892014e-5,0.009967634,5.661049,5.661049,5.491345,4.109244
C,C: all-hippo,2,1.0,1.0,1.716108,0.09417282,0.00028796933,0.03482189,5.661049,5.661049,5.353695,3.682345
C,C: all-hippo,3,1.0,1.0,1.5824265,0.13147604,0.00028691618,0.002765216,5.661049,5.661049,5.3747377,3.7139242
D,D: all-uniform,1,0.746875,1.0,1.6334513,0.11607317,2.276128e-7,0.0023176372,5.0000005,5.0000005,4.872628,3.1495724
D,D: all-uniform,2,1.0,1.0,1.7187681,0.28910416,0.00030554322,0.0028139863,5.0000005,5.0000005,4.8947096,4.330477
D,D: all-uniform,3,0.7541666666666667,1.0,1.6416192,0.25149116,0.00064808497,0.006038446,5.0000005,5.0000005,4.8879166,4.4302278
