density,config,label,seed,far_acc,near_acc,init_loss,final_loss
0.0,A,A: QKV=hippo/FFN=default (current),1,0.31666666666666665,1.0,1.9083259,0.6050109
0.0,B,B: QKV=default/FFN=hippo (proposed),1,1.0,1.0,1.8513403,0.33133054
0.0,C,C: all-hippo,1,0.6135416666666667,0.996875,1.9282959,0.8663463
0.0,D,D: all-uniform,1,0.8645833333333334,0.9989583333333333,1.9171433,0.5406947
0.5,A,A: QKV=hippo/FFN=default (current),1,0.13229166666666667,0.9385416666666667,1.903382,0.8820969
0.5,B,B: QKV=default/FFN=hippo (proposed),1,0.23125,0.8239583333333333,1.8579683,0.97030884
0.5,C,C: all-hippo,1,0.25,0.8208333333333333,1.902677,0.96964395
0.5,D,D: all-uniform,1,0.11979166666666667,0.94375,1.865705,0.87599814
1.0,A,A: QKV=hippo/FFN=default (current),1,0.12291666666666666,0.9125,1.8658051,0.947862
1.0,B,B: QKV=default/FFN=hippo (proposed),1,0.19375,0.725,1.8399087,1.0311702
1.0,C,C: all-hippo,1,0.18645833333333334,0.746875,1.8293725,1.0501179
1.0,D,D: all-uniform,1,0.12083333333333333,0.9947916666666666,1.8658001,0.74583745
