config,recenter,seed,far_acc,near_acc,init_loss,final_loss,max_absdz_init,max_absdz_trained,min_absz
B,true,1,1.0,1.0,1.8513403,0.33133054,0.0053000213,0.03480707,6.526882e-7
B,true,2,0.5364583333333334,0.9864583333333333,1.8622044,0.8572715,0.005327765,0.03384929,0.00017125798
B,true,3,1.0,1.0,1.8490036,0.27847886,0.0067708385,0.013378899,5.9595735e-5
B,true,4,1.0,1.0,1.8203942,0.15161121,0.008453496,0.01117638,0.00024869264
B,true,5,0.98125,1.0,1.8391943,0.2367771,0.004737282,0.22257815,1.4339003e-7
B,false,1,1.0,1.0,1.8465441,0.25167504,0.0042561656,0.03743707,3.8942605e-7
B,false,2,1.0,0.9989583333333333,1.8542502,0.46327358,0.013049705,0.031915262,0.00023662997
B,false,3,1.0,1.0,1.8849095,0.21772195,0.009903935,0.005373175,0.0002167516
B,false,4,1.0,1.0,1.8423991,0.20582089,0.0038344942,0.011895467,0.00046917953
B,false,5,1.0,1.0,1.8347344,0.2541972,0.016098313,0.010528338,0.00046650792
